ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question
19;ja;"Ja, es gibt verschiedene Formate für den regelmäßigen Austausch:
- Eine Kernaufgabe des Kompetenzzentrums Open Data (CCOD) – als Teil des nationalen Open-Data-Teams im weiteren Sinne – ist die Förderung des regelmäßigen Austauschs zwischen allen Open-Data-Akteuren (mindestens dreimal im Jahr).
- Auch unter den Open-Data-Koordinatoren (Bundesebene) findet ein regelmäßiger Austausch statt.";;;
20;ja;"Ja, im Falle der Bundesforschungsinstitute, die dem Bundesministerium für Ernährung und Landwirtschaft unterstehen, erfolgt der interne Austausch (innerhalb der öffentlichen Körperschaft) zwischen der für den Datenmanagementdienst zuständigen Einheit und den Wissenschaftlern unserer Forschungsinstitute. Darüber hinaus organisieren sie den regelmäßigen Austausch zwischen der öffentlichen Stelle (Bundesforschungsinstitute und die Verwaltungsbehörde) aus unserem Zuständigkeitsbereich und der obersten Behörde (Bundesministerium). Zu diesem Zweck haben sie den Think Tank Digitalisierung mit Arbeitsgruppen zu Datenmanagement, Open Data und KI gegründet. Es gibt auch andere Möglichkeiten zum Austausch.

Darüber hinaus findet auf Bundesebene ein Wissens- und Erfahrungsaustausch mit der Nationalen Forschungsdateninfrastruktur Deutschland (NFDI) statt.

Auf Bundesebene führt das Kompetenzzentrum Open Data (CCOD) sogenannte Fachforen durch, bei denen Experten aus verschiedenen Nutzergruppen (z. B. Datenjournalisten, NGOs) eingeladen werden, ihre Erfahrungen, Standpunkte und Forderungen mit öffentlich Bediensteten aller Bundesebenen zu teilen, z.B. zu Metadatenqualität oder Datenstruktur

Einige Beispiele auf regionaler Ebene:
Berlin (Bundesland):
Der Berlin Open Data Day ist die Netzwerkkonferenz zwischen den öffentlichen Einrichtungen und den Stakeholdern aus Wissenschaft, Bürgern und Wirtschaft, auf der wir Reden des Bürgermeisters und Best-Practice-Präsentationen für Open-Data-Projekte haben: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019 Außerdem gibt es bei uns den „Open Data Lunch“, bei dem wir den Stakeholdern aus Wissenschaft, Bürgern und Wirtschaft die Möglichkeit geben, sich mit den öffentlichen Stellen auszutauschen: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/veranstaltungeentfälltrtikel.1257989.php#berlin

Niedersachsen:
Nur auf Projektebene: Im Rahmen unseres Projektes „Bürgerinformationsportal Umwelt / UmweltNAVI Niedersachsen“. Das Niedersächsische Umweltministerium kooperiert z.B. mit observations.org.";;;
D1.3;;;;;
21;ja;"Beispiele:
Bundesministerium für Ernährung und Landwirtschaft:
Ja, alle Bundesforschungsinstitute im Zuständigkeitsbereich des Bundesministeriums für Ernährung und Landwirtschaft haben zu diesem Zweck Datenrichtlinien festgelegt.

Bundesministerium der Justiz (BMJ)
Ja, das BMJ plant, die Veröffentlichung von Daten in Zukunft auszuweiten:
- Das neue Rechtsinformationsportal des Bundes wird nach seiner Fertigstellung Gerichtsentscheidungen, Gesetze, Verordnungen und Verwaltungsvorschriften des Bundes als offene Daten verfügbar machen.
(https://www.bmj.de/DE/Ministerium/Transparenz/Rechtsinformationsportal/Rechtsinformationsportal_node.html)
- Zukünftig werden auch Bundesgesetze und -verordnungen in einem maschinenlesbaren Datenstandard auf der E-Verkündungsplattform verkündet.

Beispiele auf regionaler Ebene:
Baden-Württemberg:
Plattform UDO, Inspire + Geodatendienste
https://udo.lubw.baden-wuerttemberg.de/public/index.xhtml;jsessionid=896323942F7ECDC73BD70ECBC48E618B
https://rips-metadaten.lubw.de/freitextsuche?rstart=0&currentSelectorPage=1&f=type:inspire.

Die regionale statistische Datenbank in Baden-Württemberg wird derzeit auf ein neues System umgestellt und soll voraussichtlich im Jahr 2024 an den Start gehen. Der Zugriff auf statistische Daten erfolgt dann flächendeckend Open-Data-konform (z. B. API-Schnittstelle).

Berlin (Bundesland):
„Kerndatensätze“ sollten auf der Ebene öffentlicher Stellen veröffentlicht werden. Dies ist eine Aktion in unserer Open-Data-Strategie, und wir führen Workshops mit den Open-Data-Koordinatoren durch, in denen wir einen Plan für die Veröffentlichung der Daten erarbeiten, die als hochwertige Datensätze gelten.

Thüringen (regional und lokal):
Gemäß dem Thüringer Transparenzgesetz (ThürTG) wurde ein Portal eingerichtet: https://verwaltung.thueringen.de/ttp. Für Geodaten wurde gemäß der EU-INSPIRE-Verordnung ein Geoportal implementiert: https://www.geoportal-th.de/de-de/.
Darüber hinaus hat die Stadt Jena kürzlich ein Open-Data-Portal veröffentlicht: https://opendata.jena.de/.";;;
22a;ja;"Ja
- Alle zwei Jahre muss die Bundesregierung dem Bundestag über die Fortschritte der Open-Data-Implementierung in Deutschland berichten. Dazu gehört auch eine Befragung der Bundesbehörden zum Stand der Umsetzung von Open Data.
- Der Nationale Aktionsplan Open Government enthält ein Tool zur Überwachung der Umsetzung der Planpflichten: https://www.open-regierung-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- Die Datenstrategie der Bundesregierung wird vierteljährlich überwacht
- Die Open-Data-Strategie beinhaltet einen regelmäßigen Monitoring-Prozess: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html

In Rheinland-Pfalz:
Das LTranspG sieht in § 23 Abs. 1 vor, dass die Landesregierung die Wirkungen des Gesetzes wissenschaftlich fundiert prüfen und dem Landtag darüber berichten soll. Die retrospektive Evaluierung des LTranspG wurde im Dezember 2019 vom Institut für Gesetzesfolgenabschätzung und -bewertung (InGFA) am Deutschen Forschungsinstitut für öffentliche Verwaltung in Auftrag gegeben. Der abschließende 203-seitige Evaluierungsbericht wurde am 5. März 2021 eingereicht. Link zum vollständigen Evaluierungsbericht: https://dokumente.landtag.rlp.de/landtag/drucksachen/678-18.pdf";;;
22b;Zufriedenstellend;Der Stand der Umsetzung ist als zufriedenstellend zu betrachten. Einerseits werden derzeit die Änderungen des Open-Data-Gesetzes aktiv umgesetzt (z. B. die Einrichtung eines Open-Data-Koordinatorennetzwerks, die Einbindung von Forschungsdaten), die zur erweiterten Bereitstellung offener Daten und zur Entwicklung von Kompetenzen beitragen. Auch die Maßnahmen der Open-Data-Strategie werden laufend umgesetzt, inklusive Monitoring.;;;
23a;ja;Das Open-Data-Gesetz sieht grundsätzlich die Veröffentlichung von Daten als „offene Daten“ für die gesamte Bundesverwaltung vor, sofern keine Ausnahmen gelten (z. B. personenbezogene Daten, sicherheitsrelevante Daten). Kostenerwägungen spielen daher bei der Regelung keine entscheidende Rolle.;;;
23b;die meisten Datensätze;Entfällt;;;
23c;erhöht, oder bereits alle Datensätze;Entfällt;;;
24a;Entfällt;"Ohne besondere Reihenfolge:
- rechtliche Beschränkungen (z. B. Datenschutz, Urheberrecht), einschließlich der Auslegung europäischer und nationaler Gesetze
- Mangel an technischer Infrastruktur
- Mangel an Datenverwaltung

Folgende Aussagen werden ebenfalls erwähnt:
- Inventarisierung der Dateninfrastrukturen und Daten mit allen damit verbundenen Herausforderungen (z.B. Datenschutz)
- Mangel an Fachkräften im öffentlichen Dienst und unzureichende finanzielle Mittel
- Bestehende Datenbanken mit offenen Daten FAIR machen, damit sie die Daten maschinenlesbar bereitstellen können
- eine Übersicht über die Datenbestände in der gesamten Bundesregierung
- Mangel an Kompetenzen mit offenen Daten
Aus regionaler Perspektive wären das:
- Mangel an Personal
- Mangel an finanziellen Mitteln und
- Mangelnde politische Priorisierung";;;
24b;ja;"Generell: Die Benennung von Open-Data-Koordinatoren in allen Bundesministerien. Die Zusammenführung einzelner Open-Data-Gesetze zu einem Bundestransparenzgesetz in der laufenden Legislaturperiode.

Beim Bundesministerium für Ernährung und Landwirtschaft:
Zu diesem Zweck haben wir den Think Tank Digitalisierung mit Arbeitsgruppen zu Datenmanagement, Open Data und KI gegründet. Dort organisieren wir den regelmäßigen Austausch zwischen der öffentlichen Hand (Bundesforschungsinstitute und die Verwaltungsbehörde) aus unserem Zuständigkeitsbereich und der obersten Behörde (Bundesministerium).

Aus Sicht des Bundesministeriums der Justiz (BMJ):
- Austausch und Vernetzung innerhalb der Bundesregierung
- Aufbau eines Netzwerks zu offenen Daten im BMJ-Bereich

Das Kompetenzzentrum Open Data (CCOD) befasst sich mit dem Change Management für Open Data, z.B. in Leitlinien für Open-Data-Koordinationen und in öffentlichen Vorträgen auf Konferenzen und Bundesbehörden, z.B. https://www.zukunftskongress.info/de/node/4292

Auf regionaler Ebene:
Berlin: Die „AG Open Data“ hat 21 Mitglieder, jede Körperschaft ist verpflichtet, einen Open-Data-Koordinator zu entsenden. Unter diesem Link kann jeder den Ansprechpartner sehen, der für die Betreuung von Open Data bei der Behörde zuständig ist: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/ansprechpersoneentfälltrtikel.1258477.php";;;
25a;ja;"Diese Rolle ist gemäß § 12a Abs. 9 EGovG für die Open-Data-Koordinatoren in den einzelnen Bundesbehörden praktisch verpflichtend.

Darüber hinaus verfügt beispielsweise das Bundesministerium für Ernährung und Landwirtschaft (BMEL) in seinen Forschungsinstituten über eine Datenmanagement- und Datenserviceeinheit.

Das Kompetenzzentrum Open Data (CCOD) hat eine Wissensbibliothek aufgebaut, die verschiedene Richtlinien, Handbücher etc. aller Bundesebenen umfasst. (https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html)
CCOD bietet außerdem mehrere Workshops an und führt diese durch, die sich mit unterschiedlichen Themen bei der Veröffentlichung offener Daten befassen.

Auf regionaler Ebene:
Berlin (Bundesland):
(1) Videotutorial: https://odis-berlin.de/ressourcen/datenregister/
(2) Open Data Handbuch: https://berlinonline.github.io/open-data-handbuch/
(3) Veröffentlichungscheckliste: https://odis-berlin.de/ressourcen/checkliste/

Schleswig-Holstein (SH):
SH verfügt über eine offene Datenservicestelle, eine regelmäßige Sprechstunde und eine „Datenwerkstatt“.";;;
25b;ja;"Im Fall des Bundesministeriums für Ernährung und Landwirtschaft: Teilweise in unserer Arbeitsgruppe Datenmanagement diskutiert.

Zum Beispiel Luftmessung – Interaktion/Austausch von Echtzeit-/Tagesdaten zwischen den Bundesländern und dem UBA (Umweltbundesamt). Zum Beispiel Pegeldaten – meine Pegel App)
https://www.hochwasserzentralen.info/meinepegel/

Beispiele auf regionaler Ebene:
Berlin (Bundesland):
Wir bieten „Vertragsformulare“ an, damit öffentliche Stellen APIs in ihren Verträgen mit Dienstleistern berücksichtigen, um eine API für neue IT-Systeme zu implementieren. Für ältere IT-Systeme bieten wir Beratung für öffentliche Stellen an, um eine API zur Veröffentlichung von Echtzeit-/dynamischen Daten zu implementieren.

Niedersachsen:
Im Geschäftsbereich des Umweltministeriums beispielsweise die Bereitstellung offener APIs mit Wasser- und Luftqualitätsdaten (Industrieinspektionen):
- API https://sta.niedersachsen.de/v1.1/
- Doku: https://numis-sta-dokumentation.readthedocs.io/de/latest/
Wir unterstützen die datenhaltenden Stellen bei der Bereitstellung und sind bestrebt, das Angebot kontinuierlich zu erweitern.

Erwähnenswert sind außerdem:
- Es gibt einen Runden Tisch, der sich speziell mit Echtzeitdaten innerhalb der Deutschen Geodatenstruktur (GDI DE) befasst. https://www.gdi.nrw/organisation/geoit-round-table-nrw
- Die Digitalstrategie Hamburgs bezieht sich auch auf dynamische und zeitnahe Daten und Maßnahmen zur Unterstützung der Veröffentlichung: https://www.hamburg.de/senatskanzlei/digitalstrategie-fuer-hamburg/ siehe Abschnitte 1.2.2, Seite 14; Teil 2.1.2, Seite 29
siehe auch: https://gobeta.de/alle-veranstaltungen/
- Dynamische Straßenverkehrsinformationen sind über https://mobilithek.info/offers verfügbar
- Bei Fragen rund um Echtzeitdaten unterstützt das Kompetenzzentrum Open Data (CCOD) öffentliche Stellen bei der Veröffentlichung und Nachnutzung.";;;
25c;ja;"Ja, es gibt einen Runden Tisch der Deutschen Geodatenstruktur (GDI DE) (https://www.geoportal.nrw/geoit_round_table). Außerdem gibt es ein Wiki für GDI DE (https://wiki.gdi-de.org/) und einen Leitfaden zur Lizenzierung offener Geodaten (https://www.gdi-de.org/download/Beschluss/Beschluss_130_Anlage1_Empfehlung%20zur%20Lizenzierung%20offener%20Geodaten_V1-0.pdf)

Auch auf regionaler Ebene gibt es einige erwähnenswerte Beispiele:
Baden-Württemberg
Für den öffentlichen Bereich ja, für den externen Bereich nein.

Zur Unterstützung bei der Veröffentlichung von Geodaten mit Geokodierung bietet das Land Berlin dieses Video-Tutorial an: https://odis-berlin.de/ressourcen/geocodierung/

Niedersachsen: Der Betrieb einer Geodateninfrastruktur für den Geschäftsbereich des Umweltministeriums einschließlich der Veröffentlichung von INSPIRE-Metadaten, -Daten und -Diensten sowie die Betreuung der geodatenhaltenden Stellen im Geschäftsbereich sind Daueraufgaben . Die Datenbereitstellungsprozesse sind koordiniert und produktiv.

Thüringen: Für Geodaten unterstützen die jeweiligen öffentlichen Stellen die Datenanbieter intern auf Anfrage und durch regelmäßige Verbreitung allgemeiner Informationen.";;;
25d;ja;"Ja, einige Beispiele auf regionaler Ebene:
Berlin (Bundesland): Wir präsentieren unsere Open-Data-Aktivitäten in „Einkaufszentren“ für Bürger, um sie zur Veröffentlichung offener Daten oder bürgergenerierter Daten zu ermutigen.

Schleswig-Holstein (SH):
Wir bieten Organisationen an, ihre Daten zu unserem Bundesland in unserem offenen Datenportal zu veröffentlichen. Einige haben davon bereits Gebrauch gemacht.

Andere:
- es gibt das Bürgerprojekt https://openstreetmap.de/, das durch Geodaten des Bundesamtes für Kartographie und Geodäsie (BKG) unterstützt wird, siehe Link unten:
https://mis.bkg.bund.de/trefferanzeige?docuuid=08CE3537-4B07-4FD4-88D3-A9A07B1FA996

- OParl ist eine Initiative der Open Knowledge Foundation e.V. (Deutschland) zur Förderung der Offenheit parlamentarischer Informationssysteme auf kommunaler Ebene in Deutschland, siehe https://oparl.org/ und https://oparl.org/anwendungsbeispiele/";;;
26a;ja;"Ja, es gibt mehrere Programme, die die berufliche Weiterentwicklung im Bereich Open Data unterstützen und Teil von Schulungsplänen sind

1) z.B. Bundesministerium für Ernährung und Landwirtschaft:
Ja, es gibt Aktivitäten innerhalb unserer Forschungsinstitute, z.B. GeoNode am Thünen-Institut (https://atlas.thuenen.de/about/), das Geoportal des JKI (http://geoportal.julius-kuehn.de/#/dashboard) oder das Geoportal GDI-BMEL (https://gdi.bmel.de/), das von der BLE gehostet und gepflegt wird.

2) Die Deutsche Akademie für öffentliche Verwaltung bietet Kurse zum Arbeiten mit Daten an (https://www.bakoev.bund.de/DE/00_Home/home_node.html)

3) Das CCOD bietet sogenannte „Fachforen“ für öffentlich Bedienstete an, die sich mit spezifischen Fragestellungen im Zusammenhang mit der Arbeit mit offenen Daten befassen, z.B. Datenqualität und Lizenzierung offener Daten. Fachforen stehen öffentlich Bedienstete aller Verwaltungs- und Bundesebenen offen.

4) Um die digitalen Kompetenzen innerhalb der Bundesverwaltung zu verbessern, wurde eine „Digitale Akademie“ zur Vermittlung allgemeiner Kompetenzen, einschließlich Open Data, eingerichtet. Das Portal ist im Jahr 2022 gestartet und bietet Schulungsepisoden unter anderem für Open Data an, siehe: https://www.digitalakademie.bund.de/SharedDocs/03_Episoden/Lernreise_04/33_Open_Data.html

5) Es gibt thematische Open-Data-Schulungen, darunter den Online-Kurs „OpenGeoEdu“, der vom mFund unterstützt wird (https://learn.opengeoedu.de/opendata) (siehe auch die darin enthaltenen Videos, um mehr über Open Data zu erfahren).

6) Auf regionaler/kommunaler Ebene werden an einigen Stellen Fortbildungen für öffentlich Bedienstete angeboten, beispielsweise der Berliner „Crash-Kurs Open Data“, der Teil der Fortbildungspläne der Verwaltungsakademie Berlin ist: https://daten.berlin.de/interaktioentfälltrtikel/crashkurs-open-data
Auch Schleswig-Holstein bietet einen vorgeschlagenen, aber freiwilligen Lehrplan für Landesbedienstete an.";;;
26b;nein;;;;
27a;ja, >9;"Das CCOD plant für Ende 2023 konkrete Formate für ein besseres Community-Engagement.
Andere Konferenzen werden normalerweise von der Community betrieben, z. B.:
- https://oknrw.de/page/2/
- https://www.bertelsmann-stiftung.de/de/unsere-projekte/daten-fuer-die-gesellschaft/projektnachrichten/das-kommunale-open-data-netzwerktreffen-1
- https://www.datarun2023.de/ (BMDV) |

z.B. Bundesministerium für Wirtschaft und Klimaschutz:
Love Data Week (https://forschungsdaten.info/fdm-im-deutschsprachigen-raum/love-data-week/), E-Science-Tage (https://www.e-science-tage.de/de/startseite)

z.B. Bundesministerium für Ernährung und Landwirtschaft:
Ja, siehe: https://www.dlg.org/de/landwirtschaft/themen/technik/digitalisierung-arbeitswirtschaft-und-prozesstechnik/digitale-landwirtschaft; https://www.agrarheute.com/management/betriebsfuehrung/dlg-8-forderungen-fuer-digitale-landwirtschaft-542429;

Mehrere NFDI-Treffen, nächste CORDI 2023 https://www.nfdi.de/cordi-2023-call-for-papers/.
Darüber hinaus ist das JKI Partner bei FAIRagro, einem wichtigen Projekt mit mehreren akademischen Partnern über öffentliche Bedienstete hinaus, das sich auf offene Daten oder Datenkompetenz konzentriert. In diesem Projekt werden zahlreiche Workshops, Hackathons, Schulungen und Bildungskurse sowie Sommerschulen angeboten.

Beispiele auf regionaler Ebene:
Berlin (Bundesland):
- Kurse, z.B. Crashkurs Open Data https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/veranstaltungen/einladung-24-april-crashkurs-open-data.pdf?ts=1682690247
- Konferenzen: Berlin Open Data Day: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019
- Hackdays: Open Data Berlin unterstützt die vom Berliner Senat geförderten Hackathons mit Open Data: https://www.urbaninnovation.berlin/urban-innovation-forum-2023

Thüringen: Aktivitäten zur Förderung von Open Data und Open Data Literacy gibt es beispielsweise in der Wissenschaft für Forschungsdaten (Thüringer Kompezenzzentrum Forschungsdaten: https://forschungsdaten-thueringen.de).";;;
27b;eine Mischung aus den oben genannten;"z.B. in Nordrhein-Westfalen (NRW):
Offene Kommunen NRW e.V. (https://oknrw.de/)
OK Labs (https://www.codefor.de/; z.B. https://codeforbonnrheinsieg.de/
Open.NRW (https://open.nrw/)";;;
D2;;;;;
D2.1;;;;;
28;ja;"Obwohl es keine einheitliche Definition gibt, regelt § 12a Abs. 6 EGovG die Weiterverwendung offener Daten wie folgt:

„Der Abruf von Daten nach Absatz 1 Satz 1 [(= § 12a Abs. 1 enthält die Verpflichtung zur Veröffentlichung offener Daten durch Bundesbehörden)] soll unentgeltlich und zur uneingeschränkten Weiterverwendung der Daten durch jede Person ermöglicht werden. Der Abruf der Daten nach Absatz 1 Satz 1 soll jederzeit, ohne Registrierungspflicht und ohne Angabe von Gründen möglich sein.“

Darüber hinaus definiert die Open-Data-Strategie Folgendes:
„Wann sind offene Regierungsdaten im Sinne dieser [Open-Data]-Strategie?“
- Behörden die Daten selbst erhoben haben oder durch Dritte erheben lassen;
- frei zugänglich in öffentlichen Netzwerken,
- maschinenlesbar,
- nicht persönlich
- frei nutzbar,
- Keine sicherheitsrelevanten Informationen.“";;;
29;Ja, aber der Fokus ist begrenzt;"Das Bundesministerium des Innern und für Heimat hat den Einsatz von Open Data über Govdata geprüft. Die Ergebnisse der Studie (vorgestellt im Mai 2022) werden genutzt, um mögliche Maßnahmen zu identifizieren, um weitere Anreize für die Wiederverwendung öffentlicher offener Daten zu schaffen.
Die Studie selbst wurde veröffentlicht, allerdings als damals urheberrechtlich geschütztes wissenschaftliches Werk: https://dopus.uni-speyer.de/frontdoor/index/index/searchtype/authorsearch/author/Feller%2C+Zarina/docId/5746/Start/5/Reihen/10";;;
30;ja;"Ja, es gibt verschiedene Methoden zur Schätzung der Wiederverwendung offener Daten. Dazu gehören die Sammlung, Verfolgung und Veröffentlichung von Anwendungsfällen und andere Überwachungsmechanismen, wie zum Beispiel:

- Nationale Ebene: Beispiele für die Datennutzung werden über Open Government Networking gesammelt und als Artikel sowie auf der CCOD-Website veröffentlicht: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Use_Cases/use_cases_node.html
- Die Nutzung von CODE-DE wird umfassend gemessen und regelmäßig ausgewertet.
- Regelmäßiges INSPIRE-Monitoring durch GDI-DE, Deutschlands Geodateninfrastruktur.

- Regional/lokal:
- Berlin (Land): Wir veröffentlichen die von Open Data of Berlin generierten Anwendungen auf unserem Open Data Portal: https://daten.berlin.de/anwendungen
- Im Land NRW überwachen Dateneigentümer/-anbieter und IT-Dienstleister Downloads und Service-Nutzung als interne Daten.";;;
31;ja;"Die Berlin University Alliance fördert in Ziel 3 das Monitoring von Open-Data-Praktiken (https://www.berlin-university-alliance.de/en/commitments/forschungsqualität/index.html)

Beispiele auf regionaler Ebene:
Berlin (Land): Wir verfügen über unsere Projektdatenbank, in der wir die Wiederverwendung der eigenen veröffentlichten Daten überwachen und diese durch unsere Social-Media-Aktivitäten oder Pressemitteilungen bekannt machen:
1) offene Haushaltsdaten: https://odis-berlin.de/projekte/haushaltsdaten/
2) Organigramm-Tool: https://odis-berlin.de/projekte/organigramme/
3) Wahlbezirke-Editor: https://odis-berlin.de/projekte/wahlbezirke/";;Gibt es landesweite (bundesweite) Aktivitäten, um öffentliche Stellen insgesamt zu ermutigen, die Weiterverwendung ihrer eigenen veröffentlichten Daten zu überwachen?;
32;ja;"Bundesebene:
Notwendige Maßnahmen und Prozesse sind in Vorbereitung und werden termingerecht abgeschlossen. Beispielsweise steht das Bundesministerium für Wirtschaft und Klimaschutz mit relevanten Stakeholdern in Kontakt, um einen Überwachungsmechanismus zu implementieren.

Regionale Ebene:
Berlin (Land): Die Überwachung und Messung hochwertiger Datensätze wird gezeigt: https://odis-berlin.de/projekte/kerndatensaetze/";;;
33;ja;"Ja, aber es gibt keine einheitliche Definition der Auswirkungen offener Daten in Deutschland (die aufgrund der oben erwähnten verfassungsrechtlichen Trennung zwischen Bund und Ländern kaum anwendbar auf Deutschland wäre): Die meisten öffentlichen Stellen und Institutionen, die sich mit offenen Daten befassen, haben dargelegt, welche Auswirkungen offene Daten aus ihrer Sicht haben (können).
- Die Gesamtwirkung offener Daten ist beispielsweise in der Datenstrategie beschrieben (siehe hier https://www.bundesregierung.de/resource/blob/992814/1845634/f073096a398e59573c7526feaadd43c4/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1.
- Die Open-Data-Strategie enthält auch eine umfassende Definition der Ziele und Auswirkungen von Open Data (Seite 5, 6), siehe URL: https://www.bundesregierung.de/resource/blob/992814/1940386/1d269a2ad1b6346fcf60663bdea9c9f8/2021-07-07-open-data-strategie-data.pdf?download=1
- Offene Daten sind ein zentraler Aspekt des mFUND-Förderprogramms. Finanziell werden Innovationsprojekte gefördert, die ihre Projektergebnisse und Forschungsdaten spätestens nach Projektende als Open Data zur Verfügung stellen. Das Open-Data-Portal mCLOUD (https://mcloud.de/) des BMVI ist das primäre Repository für die Veröffentlichung offener Daten für mFUND-Projekte. Der Umfang der geplanten Open-Data-Bereitstellung spielt bereits bei der Bewertung der eingereichten Projektvorschläge eine entscheidende Rolle.
- Eine Reihe von Bundesbehörden haben Open Data in allen datenrelevanten Prozessen und in ihrer strategischen Ausrichtung (Change Management) implementiert, z.B. BAW, BSH, DWD.
- Die vom Ministerium des Innern, für Bau und Heimat herausgegebene Studie „Kommunales Open Government. Gebrauchsanleitung für eine Utopie“ stellt darüber hinaus mehrere konkrete Erwartungen an positive Wirkungen durch Open-Government-Daten dar (URL: https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/themen/moderne-verwaltung/leitfaden-modellkommune-open-govt.pdf?__blob=publicationFile&v=1)
- Im Rahmen des Ministeriumsprojekts „Modellkomune Open Government“ wurden acht Wirkungsdimensionen der Offenheit und neun erwartete Wirkungen für öffentliche Stellen identifiziert (siehe S. 61 & S. 65, URL: https://www.bmi.bund. de/SharedDocs/downloads/DE/veroeffentlichungen/themen/moderne-verwaltung/projektbericht-modellkommune-open-government.pdf?__blob=publicationFile&v=2)
- Die Studie „Digitales Gold“ der Berliner Technologiestiftung skizziert konkrete Auswirkungen in verschiedenen Bereichen der Open-Data-Anwendung (URL: https://www.technologiestiftung-berlin.de/fileadmin/Redaktion/PDFs/Bibliothek/Studien/2014/140201_Studie_Digitales_Gold_Open_Data.pdf)";;;
34;ja;"Da Auswirkungen auf unterschiedliche Weise definiert werden (siehe Frage 33), werden auf nationaler, regionaler, lokaler und Projektebene unterschiedliche Methoden verwendet.
- Auf nationaler Ebene werden die Umsetzung und die entsprechenden Auswirkungen des Open-Data-Gesetzes durch einen Online-Fragebogen und die Erstellung eines halbjährlichen „Fortschrittsberichts“ gemessen. Den ersten und auch die Ergebnisse der Abstimmung finden Sie hier: https://dip21.bundestag.de/dip21/btd/19/141/1914140.pdf
*(der zweite Bericht wird derzeit erstellt).
- Das Land NRW hat eine durchgehende Evaluierung seiner gesamten Open-Government-Strategie entwickelt, die die Messung seiner Open-Data-Ziele und der damit verbundenen Auswirkungen umfasst (URL:
https://www-open-nrw.prod-drupal.nrw.de/system/files/media/document/file/opennrwt1web.pdf)
- Das Projekt „Modellkomune Open Government“ hat einen begleitenden Leitfaden veröffentlicht, der „Erwartungen“ an Offenheit und konkrete Schritte zu deren Erreichung konkretisiert. Diese sind zugleich Grundlage für die Wirkungsevaluation (URL: https://open-gouvernement-kommunen.de/goto.php?target=file_425_download&client_id=civitalis)
- Der Open Data Impact Award des Stifterverbandes weist darauf hin, dass „Impact“ von Open Data in der Forschung bedeutet, dass die Daten erfolgreich in einem anderen gesellschaftlichen Bereich umgesetzt wurden (einen Mehrwert für die Gesellschaft schaffen, offen für eine große Anzahl von Nutzern verfügbar) (URL: https://www.stifterverband.org/innosci/open-data-impact-award)

Schließlich: In ihrem Koalitionsvertrag aus dem Jahr 2021 hat die Bundesregierung die Gründung eines unabhängigen Dateninstituts in Deutschland festgelegt. Eine Aufgabe dieser Einrichtung wird in Zukunft darin bestehen, weitere Methoden zu entwickeln.";;;
35;ja;"Ja, mehrere Studien bewerten die politischen Auswirkungen offener Daten, insbesondere anhand ihrer Verwendungszwecke und Anwendungen:
- Im Juni 2020 wurde eine vom Bundesministerium für Wirtschaft und Energie (BMWi) geförderte Studie veröffentlicht, die den Fortschritt und die Auswirkungen von Open Data in Deutschland beobachtet: https://www.digitale-technologien.de/DT/Redaktion/DE/Downloads/Publikation/SSW/2020/SSW_Open_Public_Data_in_Deutschland.pdf?__blob=publicationFile&v=9
- Bericht der Bundesregierung zur Evaluierung des ersten Gesetzes zur Änderung des Gesetzes über den Deutschen Wetterdienst (DWD): https://dip21.bundestag.de/dip21/btd/19/283/1928350.pdf
- Begleitende Forschung zum mFUND-Programm: https://www.wik.org/index.php?id=mfund0
- Ziel der Online-Konsultation 2020 zur neuen Datenstrategie der Bundesregierung war unter anderem auch die Messung der Relevanz und Einsatzmöglichkeiten offener Daten aus Sicht der Befragten (Zivilgesellschaft, Wirtschaft, Forschung, Verwaltung). Die Analyse der Umfrage finden Sie hier: https://www.bundesregierung.de/resource/blob/974430/1761674/aec4dd81733f4bd4a7109bffc4914b37/2020-06-18-ergebnisse-der-oeffentlichen-konsultation-data.pdf?download=1
- 2022: Eine im Auftrag des Bundesministeriums des Innern und für Heimat 2019/2020 durchgeführte Studie untersuchte empirisch unter anderem die Nutzung offener Daten auf dem nationalen Metadatenportal GovData. Die Ergebnisse wurden im Mai 2022 eingereicht";;;
