ID;Answer from 2024;Explanation from 2024;Confirm, change or complement answer/explanation from 2024;Provide updated answer (if applicable);Provide updated explanation (if applicable)
Q3;Within one week;"GovData: On average, the metadata is updated after 2 days. If metadata is changed manually directly in the GovData portal, the changes are visible immediately. If a dataset is changed in the geoportal of a city, the city harvests its geoportal, the city may be harvested by the portal of the district, which in turn is harvested by the federal state, which is harvested by GovData. This chain can result in a delay of several days when updating the data.

Follow up: confirmation";Confirm;;
Q4;Yes;"GovData: Until recently, it was not possible to mark up data series in the metadata. Therefore, data series were created as differently as possible in the past. The local sub-portals all have their own strategy for dealing with this. With the introduction of DCAT-AP.de 3.0, an example of a correct data series is planned. Based on this, we could work towards harmonization.

Follow up: Yes the new DCAT-AP.de version make it possible to mark dataset series correctly and unique. Today we do not measure this aspect because there is no standardized way and 4+ ways used to mark dataseries.";Confirm;;
Q5;Yes;"Berlin: but it is not getting used as the data providers publish from other plattforms such as GENESIS Online, where there is an interface to the Govdata Portal, or they publish over the Geoportal Berlin, where there is an API to the Berlin Open Data Portal, but they do not have to indicate extra on the Berlin Portal, as it gets indicated at the Geoportal 
GovData: 
We are proud to have been the second state to correctly transfer the high-value datasets award to the European data portal. In order to do this successfully, we had to extend CKAN so that HVD data could be imported into a CKAN system and then exported. Our changes have been transferred to the official repo according to the open source rules. For the geodata, we had to adapt the converter of the geo-ISO data. A lengthy coordination process with and within the geo-community was necessary beforehand. Please also refer to the answer to question PT22.";Confirm;;
Q6;No;"GovData: In some cases, the specialist communities themselves ensure that the individual data records are compatible. Two specialist areas are cited as examples. The geodata are collected in the federal states and, thanks to established structures, they can be harmonized and offered as a common dataset for the whole of Germany. The INSPIRE specifications mean that the datasets are comparable throughout Europe. The weather data is not only compatible within Europe but is also internationally interoperable thanks to its standardization.

Follow up: The correct answer is still 'no'. INSPIRE and weather data are older than HVD. So we have interoperable datasets but we do no special activities for HVD datasets that there are interoperable with other countries";Confirm;;
D3.2;;;;;
Q7;yes;"Broken links, monitoring of import errors, validation is being transformed according to DCAT-AP.de (https://www.itb.ec.europa.eu/shacl/dcat-ap.de/upload )
We provide a Dashboard, which provides information about the published data. While a trial period the Dashboard is only reachable for registered users.
Please contact us to join via mail at info@govdata.de.";Confirm;;
Q8;Yes;"GovData: We provide a dashboard that provides information about the published data. During a test phase, the dashboard is only accessible to registered users. The underlying data, however, can be accessed openly via our SPAQL interface.

Follow up: https://govdata.de/metadatenqualitaet/qualitaetsmerkmale This URL will be available later this month. We remove the 'accessible to registered user'";Confirm;;
Q9;Yes;"Berlin: =HYPERLINK(""#""; ""https://odis-berlin.de/file-download/Vorlage_Metadaten.xlsx "")

GovData: We offer information on this on our information page on the provision of data on GovData https://www.govdata.de/web/guest/datenbereitstellungaufgovdata. There we refer to the self-service tool for testing DCAT-AP.de-compatible metadata. When we connect new data providers to GovData, their endpoint is extensively tested and they receive a written analysis of their metadata quality. In the course of the release of DCAT-AP.de 3.0, we will provide various examples of high-quality metadata.";Confirm;;
Q10;Yes;"Berlin: the Musterdatenkatalog of the Bertelsmann Stiftung

GovData: All data suppliers must provide their metadata in at least DCAT-AP.de 2.0 format. The standard itself contains specifications on the use of licenses, among other things. The conventions manual https://www.dcat-ap.de/def/dcatde/2.0/implRules/ contains 41 conventions that apply to the delivery to GovData.";Confirm;;
Q11;Yes;"in the Open Data Verordnung we recommed mostly open licenses such as CC 0, or at least CC By 4.0

Follow up:
License Guideline on GovData: https://www.govdata.de/web/guest/datenbereitsteller
License guide in DCAT-AP.de: https://www.dcat-ap.de/def/licenses/
The Open Data Verordnung Berlin https://www.berlin.de/sen/wirtschaft/digitalisierung/open-data/verordnung/";Confirm;;
Q12;51-70%;"GovData: >90%

Follow up: 90+% is correct";Change;>90%;In 2024, an incorrect value was used in the ODM report.
Q13;1-4;"GovData: 5-10

Follow up: 5-10 is correct";Change;5-10;In 2024, an incorrect value was used in the ODM report.
Q14;No;;Confirm;;
D3.3;;;;;
Q15;Yes;We only harvest datasources in DCAT-AP.de 2.0 or better. If not possible (INSPIRE metadata) we provide and develop own CKAN converter extension. We developed DCAT-AP.de years ago to follow the European DCAT-AP with some Germany extensions;Confirm;;
Q16;51-70%;Follow up: Thanks for the hint. As described in Q15 we follow the DCAT-AP compliance. There is no decrease. We corrected the answers;Change;>90%;In 2024, an incorrect value was used in the ODM report.
Q17;51-70%;Follow up: Thanks for the hint. As described in Q15 we follow the DCAT-AP compliance. There is no decrease. We corrected the answers;Change;>90%;In 2024, an incorrect value was used in the ODM report.
Q18;31-50%;Follow up: Thanks for the hint. As described in Q15 we follow the DCAT-AP compliance. There is no decrease. We corrected the answers;Change;71-90%;In 2024, an incorrect value was used in the ODM report.
Q19;Yes;Follow up: Thanks for the hint. We still have a national extension. We will release the new DCAT-AP.de 3.0 in December 2024;Confirm;;
Q20;No;GovData: No. The investigation and improvement of metadata quality is on our to-do list.;Confirm;;
Q21;31-50%;GovData: '31-50%;Confirm;;
Q22;51-70%;"GovData: '>90%

Follow up: Thanks for the hint. We corrected the answer to 90+%";Change;>90%;In 2024, an incorrect value was used in the ODM report.
D3.4;;;;;
Q23;Yes;Berlin: for finance data and for the organigramm tool;Confirm;;
Q24;Yes;Berlin: Barcamp Linked Open Data;Confirm;;
Q25;>90%;N/A;Confirm;;
Q26;>90%;N/A;Confirm;;
Q27;71-90%;N/A;Confirm;;
Q28;51-70%;N/A;Confirm;;
Q29;31-50%;N/A;Confirm;;
D4;;;;;
D4.1;;;;;
I1;yes;"Although there is no single definition, § 12a (6) EGovG regulates the re-use of open data as follows:

""The retrieval of data pursuant to the first sentence of (1) [(= § 12a (1) contains the obligation for publishing open data by federal authorities)] shall be made possible free of charge and for the unrestricted re-use of the data by any person. Retrieval of data pursuant to the first sentence of (1) should be possible at any time, without mandatory registration and without justification.""

Furthermore the open data strategy defines as follows:
""When is open government data for the purposes of this [open data]strategy?
- Authorities have collected the data themselves or have them collected by third parties;
- freely accessible on public networks,
- machine-readable,
- non-personal
- freely usable,
- No safety-related information.""";Confirm;;
I2;Yes;"Berlin: Yes, there are various methods for estimating the re-use of open data. They include the collection, tracking and publication of use cases and other monitoring mechanisms, such as:

- National level: Examples for data usage are collected via open government networking and made public as articles as well as on the CCOD website: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Use_Cases/use_cases_node.html
- The usage of CODE-DE is extensively measured and regularly evaluated.
- Regular INSPIRE-Monitoring by GDI-DE, Germany's geodata infrastructure.
- The showroom of GovData also shows some application examples: https://www.govdata.de/web/guest/showroom 

- Regional/local:
- Berlin (State): we do publish the applications that are generated by Open Data of Berlin on our Open Data Portal: https://daten.berlin.de/anwendungen
- In the state of NRW, data owners/providers and IT-Service Providers monitor downloads and Service-Use as internal data.

Hamburg:
-The governmental impact is hereby defined as the beneficial effect of the use of open data on three specific challenges faced by the government/public administrations: 1) Being efficient and effective in delivering public services; 2) Being transparent and accountable in their actions; 3) Improving their capacity to make decisions and policies.";Confirm;;
I3;Yes;"Bavaria:
- Collection of use cases with open data at https://oc.bydata.de/using/usecases

North Rhine-Westphalia: Reuse cases are pulblished in a showroom (https://open.nrw/open-data/open-data-showroom.";Confirm;;
I4;No;;Confirm;;
I5;Yes;"Berlin: Yes, but there is no one-size-fits-all definition of the impact of open data in Germany (which would, due to the constitutional division between federal level and regional level hardly be applicable to Germany): most public bodies and institutions dealing with open data have delineated what the impact of open data (can) entail from their perspective.
- For instance, the overall impact of open data is described in the new Data Stategy of 2023 ""Progress through data use"", see here: https://bmdv.bund.de/SharedDocs/DE/Anlage/K/nationale-datenstrategie.pdf?__blob=publicationFile
- The Open data Strategy also contains a broad definition of the objectives and impacts of open data (page 5, 6), see URL: https://www.bundesregierung.de/resource/blob/992814/1940386/1d269a2ad1b6346fcf60663bdea9c9f8/2021-07-07-open-data-strategie-data.pdf?download=1";Confirm;;
I6;Yes;"Berlin: As impact is defined in different ways, there are different methodologies used on the national level:
- On the national level, the implementation and corresponding impact of the open data law is measured through an online questionnaire and writing of a bi-annual ""Fortschrittsbericht"" (Progress report). See the first one and also the results of the mearung here: https://dip21.bundestag.de/dip21/btd/19/141/1914140.pdf
*(the second report is currently being prepared for 2024).

Finally: in its coalition agreement from 2021, the Federal Government stipulated the establishment of an independent Data Institute in Germany. One task of this institution will be in future to develop further methods.";Confirm;;
I7;No;;Confirm;;
D4.2;;;;;
I8;Yes;N/A;Confirm;;
I8-a;Yes;"BMEL:
Dataportals within the responsibility of the Federal Ministry for Food and Agriculture, e.g. https://www.openagrar.de or https://atlas.thuenen.de count the access to datasets. However, there is no tracking of usage of the data. In some instances, for specific open data sets, users need to register: Example: The public use file of the BfR Total Diet Study ""MEAL"" is available on the BfR website. User access is registered through registration:
http://www.bfr-meal-studie.de/de/public-use-file.html

BMG:
We upload our data to the Zenodo platform und monitor the usage of the datasets we uploaded to the Zenodo platform

North Rhine Westphalia: a call-to-action on every dataset with an underliying form on the open data-portal open.nrw encourages to feedback data reuse (https://open.nrw/formular-anwendungsbeispiele)";Confirm;;
I8-b;Yes;"BMEL:
Already published but older than a year examples from FAIRagro consortium (a consortium in which many agencies under responsibility of the Federal Ministry for Food and Agriculture participate):
1 - Senft M, Stahl U, Svoboda N (2022) Research data management in agricultural sciences in Germany: We are not yet where we want to be. PLoS ONE 17(9): e0274677. https://doi.org/10.1371/journal.pone.0274677
2 - Senft, M., Stahl, U., & Svoboda, N. (2021). Dataset: survey about research data management in agricultural sciences in Germany [Data set]. OpenAgrar Repository. https://doi.org/10.5073/20211013-105447
Already published but older than a year examples from NFDI4Health:
Bericht zum 1. NFDI4Health User Survey : Status-quo-Erhebung 2021, https://doi.org/10.4126/FRL01-006461780

North Rhine-Westphalia: Regular monitoring on key figures such as views and downloads of datasets 

Berlin: Meinberlin.de Online Survey

Schleswig-Holstein:
During the evaluation of the open data legistation and the open data portal a survey for the users of the open data portal has been conducted. We are still waiting for the results.";Confirm;;
I8-c;Yes;"Berlin: Workshops such as the AG Open Data

Schleswig-Holstein:
We organised three ""data dialogues"", for researchers, for the eocnomy and for the civil society. In these workshops we collected needs and wishes from the three different groups.

Bavaria: 2 workshop on usage of open data by civil society and start-ups in Bavaria during Open Data Day Munich";Confirm;;
I8-d;Yes;"Berlin: stakeholder workshops of the open data strategy

BMG:
We use Github Issues to interact with the community and answer to questions and get feedback frpm our community";Confirm;;
I9;Yes;N/A;Confirm;;
I9-a;Yes;"Schleswig-Holstein: 
We have a lively digital barcamp scene. We try to offer  annual sessions on the topic of open data in all major cities. In these sessions, we collect needs and wishes.

BMG:
We hold regular workshops and seminars to further develop our products in line with demand.

Bavaria: Continuing moderated usability tests with users on the portal

BMDV:
Mobility Data Space and Mobilithek use feedback measures with portal users.";Confirm;;
I9-b;Yes;N/A;Confirm;;
I9-c;Yes;N/A;Confirm;;
I10;Yes;"Bavaria: Use Cases are collected with a possibility to report new ones at https://oc.bydata.de/using/usecases

Berlin: Prototyping of data with the ODIS

North Rhine-Westphalia: Reuse cases are published in a showroom (https://open.nrw/open-data/open-data-showroom)";Confirm;;
I11;Yes;"BMG:
As part of the NFDI4Health consortium systemetic ways of classifying reuse cases are currently developed";Confirm;;
D4.3;;;;;
D4.3a;;;;;
I12;Yes;"Berlin: the study ""Open data in der Berliner Verwaltung"": https://odis-berlin.de/file-download/01_Handout-OpenData-Kurzerklaert.pdf";Confirm;;
I13;Yes;"Berlin: the library dashboard shos the use of data to improve public services https://odis-berlin.de/projekte/2023-03-pankow-bibliotheksdaten 

BMEL:
Publshing data as FAIR open data reduces the effort of making data available for public authorities within the responsibility of the Federal Ministry for Food and Agriculture. For examples, interested parties can just download the data without formally requesting it. For example, the Federal Office of Consumer Protection and Food Safety, procides access to authorization data for plant protection agents/pesticides via an API https://www.bvl.bund.de/SharedDocs/Fachmeldungen/04_pflanzenschutzmittel/2024/2024_04_03_Fa_PSM_API.html). More examples specifically for research data are datasets published on OpenAgrar (https://www.openagrar.de/servlets/solr/select?q=%2Bcategory.top%3A%22mir_genres%3Aresearch_data%22+%2BobjectType%3Amods+%2Bcategory.top%3A%22state%3Apublished%22&mask=content/browse/genres.xml%23open%5B%5D&sort=mods.dateIssued+desc&fq=worldReadableComplete:true) or on https://atlas.thuenen.de/layers/";Confirm;;
I14;Yes;"Bavaria: Yes, e.g. the City of Augsburg published financial data on shareholding https://augsburg.bydata.de/?locale=de&page=3&limit=10

Berlin: the visualisation of the finance data of berlin: https://odis-berlin.de/projekte/2022-09-haushaltsdaten";Confirm;;
I15;I don't know;;Confirm;;
I16;Yes;"BMG:
open data is used as a basis for multiple dasboards for example: https://infektionsradar.gesund.bund.de/de";Confirm;;
D4.3b;;;;;
I17;No;"BMAS:
There is currently no study or data available that fits exactly the question. The answer must therefore be ‘no’.
=====
The social budget dataset offers an overview of the range of services and the financing of the social security system in Germany. The social budget dataset is linked as open data with www.govdata.de. The publication of the dataset increases transparency and accountability in Germany (https://www.bmas.de/DE/Service/Publikationen/Broschueren/a230-23-sozialbudget-2022.html).

The Federal Government is required to regularly present a Poverty and Wealth Report as an instrument to review political measures and to suggest new ones. Six reports have been published so far. All reports as well as their accompanying scientific research are published on the internet. 
ARB - Startseite (armuts-und-reichtumsbericht.de)
Within the framework of the Poverty and Wealth Report, indicators are published on the internet and made available as open data files.
ARB - Open Data (armuts-und-reichtumsbericht.de)

Fakten zur Rente (Facts on Pensions) is an information base. Its aim is to support the discussion on the future of old-age security. With facts and figures on old-age provision, a contribution is to be made to objectifying the debate. In doing so, both development lines and the current status of selected aspects of old-age provision are described, thus providing a basis for a better understanding of the topic of old-age provision.
BMAS - Klargestellt: Fakten zur Rente, Link: https://www.bmas.de/DE/Soziales/Rente-und-
Hamburg: -Hamburg: -The social impact is hereby defined as the beneficial effect of the use of open data on four specific challenges for society: 1) Including minorities, migrants, and/or refugees  and reducing inequality, 2) Alleviating housing issues, 3) Fostering health and wellbeing, 4) Improving education.

Altersvorsorge/Fakten-zur-Rente/fakten-zur-rente.html
In a separate section, the data used is presented in an open data format for the interested public.
BMAS - Daten zur Rente zum Download, Link: https://www.bmas.de/DE/Service/Statistiken-Open-Data/Daten-zur-Rente/daten-zur-rente.html

The Federal Ministry for Food and Agriculture provides several datasets e.g. on nutritional behaviour

examples at regional level:
Berlin (state): we have an ""Sozialinformationssystem"" which is an Open Data Portal on topics like social challenges
https://www.sozial-informations-system.de/home?lang=de

Hamburg: Hamburg: -The social impact is hereby defined as the beneficial effect of the use of open data on four specific challenges for society: 1) Including minorities, migrants, and/or refugees  and reducing inequality, 2) Alleviating housing issues, 3) Fostering health and wellbeing, 4) Improving education.";Change;Yes;In 2024, an incorrect value was used in the ODM report.
I18;I don't know;;Confirm;;
I19;I don't know;;Change;Yes;"In 2024, an incorrect value was used in the ODM report.

NRW.  (state): BORIS.NRW provides data on the development on property prices: https://www.boris.nrw.de/boris-nrw/?lang=de. Open Data provides the data basis for compiling the land values from different data sources and at the same time provides the basis for a search function.

The presentation of the ground benchmarks on the internet is based on a uniform data set in North Rhine-Westphalia. These data are updated annually and form the basis for the search in the tool. Add.: The land and real estate benchmark datasets from the real estate market information system can be used free of charge in accordance with the terms of use of BORIS-NRW."
I20;I don't know;;Change;Yes;"In 2024, an incorrect value was used in the ODM report.

The RKI (Robert-Koch-Institute) offers various data sets on indicators from the health sector (e.g. SARS2 incidences, vaccinations):
https://www.govdata.de/web/guest/daten/-/searchresult/f/groups%3Aheal%2Ctype%3Adataset%2Csourceportal%3A9b637d65-df77-42b5-bbad-d7400ffbff56%2C/s/relevance_desc
https://zenodo.org/communities/robertkochinstitut
https://github.com/robert-koch-institut

However, no specific applications, use cases or services can in fact be inferred from the examples given – at least none of them presumably aimed at the present question. /// Map on noise: https://www.umgebungslaerm-kartierung.nrw.de/; map on airpollution: https://www.ekl.nrw.de/ekat/ (emissions)

Health statistics, seperately provided by the Federal Statistical Office of Germany (Destatis), see: https://www-genesis.destatis.de/genesis/online?operation=themes&levelindex=0&levelid=1724858612321&code=23#abreadcrumb"
I21;Yes;"BMAS:
At https://www.arbeitsagentur.de/jobsuche/ of the Bundesagentur für Arbeit (Federal Employment Agency), people looking for an vocational training can find out information about vacant (vocational) training places.";Confirm;;
D4.3c;;;;;
I22;No;"Bavaria: Yes, e.g. the Start-Up ""Urbansens"" uses open data for analyzing heat and environmental problems in cities https://oc.bydata.de/using/usecases/urbansens

Hamburg: -The environmental impact is hereby defined as the beneficial effect of the use of open data on four specific challenges connected to the environment: 1) Protecting biodiversity (e.g. maintaining a good level of air and water quality), 2) Achieving more environmental-friendly cities (e.g. in terms of transport and waste management), 3) Fighting climate change and connected disasters, 4) Increasing the use of renewable sources of energy. 

Berlin: in the energy sector: https://odis-berlin.de/projekte/2023-03-energiecheckpoint";Change;Yes;In 2024, an incorrect value was used in the ODM report.
I23;Yes;"Bavaria: Yes, e.g. projects that analyze the trees in the City of Würzburg https://oc.bydata.de/using/usecases/baeumewuerzburg & https://oc.bydata.de/using/usecases/laubnadelwuerzburg

Berlin: yes for better air quality, and the water situation";Confirm;;
I24;Yes;Bavaria: Yes, e.g. projects that analyze the bike usage in the City of Munich https://oc.bydata.de/using/usecases/trendradeln & https://oc.bydata.de/using/usecases/fahrradmuenchen;Confirm;;
I25;Yes;"Bavaria: Yes, e.g. the Start-Up ""Urbansens"" uses open data for analyzing flood risks https://oc.bydata.de/using/usecases/urbansens ";Confirm;;
I26;Yes;"Schleswig-Holstein: 
The Solar potential cadastre https://www.solarkataster-sh.de has been created based on data from the open data portal.";Confirm;;
D4.3d;;;;;
I27;No;"There is currently no study or data available that fits exactly the question. The answer must therefore be ‘no’.
=====
Dashboard Germany, Economics and Economy section: It offers indicators around the economy and the economy, general economic development and recovery plans, as well as specific sectors, external trade, consumption and prices:
https://www.dashboard-deutschland.de/konjunktur_wirtschaft/aussenhandel
Add.: While studies on the economic impact of open data exist, there is no knowledge of recurring data collection.

Berlin (state): this data is available on the plattform of the ""Amt für Statistik Berlin-Brandenburg"" for Berlin. For the new business created we have our daa from the ""Gewerbedatenbank"":
Bevölkerungsdaten: https://www.statistik-berlin-brandenburg.de/bevoelkerung
Daten der Gewerbedatenbank: https://senweb.leto.polyteia.de/app/ac755f96-46a2-49d1-9f60-0534f3b0e833/1a705925-d1d8-49a6-8d12-1d229095f57a";Confirm;;
I28;Yes;"BMAS:
Jobseekers can find out information about job vacancies at https://www.arbeitsagentur.de/jobsuche/ of the Bundesagentur für Arbeit (Federal Employment Agency). ";Confirm;;
I29;Yes;"BMDV:
The BMDV research program mFUND explicitly requests the reuse and/or provision of open data for innovative mobility projects. Here are three examples of funded projects within the mFUND program:
FixMyCity (https://www.fixmycity.de) provides a platform and tools for the planning of bicycle infrastructure. It is based on the mFUND project FixmyBerlin (https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/mfund-projekte/fixmyberlin.html?nn=12830). The tool is open to use under (https://fixmyberlin.de/planungen), helping to improve such infrastructure based on data provided by citizens.
RailBench (https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/mfund-projekte/rail-bench.html) is a currently running mFUND project that is developing a benchmark suite for rail transport automation and will be available under an open license. It's based on the KITTI benchmark suite, and data is provided by Deutsche Bahn and the German Centre for Rail Traffic Research (DZSF). Data can be found here: https://data.fid-move.de/dataset/osdar23.
Wheelmap (https://wheelmap.org/search) is a platform that shows data on accessibility in public spaces and public transport, as well as other locations such as hotels, restaurants, shopping malls, etc. It is based on a selection of projects funded within the mFUND program (https://sor.bz/FZ6U7).

Bavaria: Yes, e.g. the Start-Up ""SE3Labs"" that uses geospatial AI to explore open data https://oc.bydata.de/using/usecases/se3labs

Berlin: aritificial intelligence for example LLM or digital twins";Confirm;;
I30;Yes;"BMWK:
One objective of the German ""Action plan for more women entrepreneurs for our SMEs"" of the German government, business associations, civil society organisations and research institutes is to enhance data transparency concerning female entrepreneurship. Data analysis and transparency provides a basis for evidence-based policy making. (https://www.bmwk.de/Redaktion/EN/Publikationen/Wirtschaft/action-plan-more-women-entrepreneurs-for-our-smes.html) One example is the study the German Ministry for Economic Affairs and Climate Action commissioned the Ludwig Fröhler Institute to conduct concerning the employment situation of women in craft: https://www.bmwk.de/Redaktion/DE/Dossier/Mehr-Unternehmerinnnen-fuer-den-Mittelstand/Textsammlungen/lfi-studie.html

BMDV:
FixMyCity: The successful launch of the toolset and the founding of the company behind it would not have been possible without the mFUND project FixmyBerlin.
GOAT (https://www.open-accessibility.org/) is an interactive, dynamic, and data-driven planning tool for accessibility planning. It is developed by an active community as an open-source project. It is based on the mFUND project GOAT (https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/mfund-projekte/GOAT.html), followed by the currently running project GOAT 3.0 (https://bmdv.bund.de/SharedDocs/DE/Artikel/DG/mfund-projekte/goat-3-0.html). Company website: https://plan4better.de/
Wheelmap: Again, we would like to point out the successfully launched platform Wheelmap (see item I29).

Bavaria: Yes, e.g. the Start-Ups Credium, Urbansens and SE3Labs are built on top of open data";Confirm;;
I31;Yes;"BMWK:
There is currently no study or data available that fits exactly the question. The answer must therefore be ‘no’. 
The Bundesbank only looks at digitalization in general: 
https://www.bundesbank.de/resource/blob/906616/619cb6633927dc5d02c459fc3c5afe60/mL/2023-03-arbeitsproduktivitaet-data.pdf";Confirm;;
