P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";yes;"As described for question 10c, the CTIC appointed a task force dedicated to data subjects including open data.

[Response to reviewer] Further explanation: 
Yes, this task force (TF) includes various public public sector bodies responsibles for open data. Please see file attached in the email ""CTIC - TF presentation.pdf"", that is the last TF presentaion. On page 5, in the textbox ""CONSTITUIÇÃO"", members (data officers that are responsible, as well, for the open data) form different bodies are enumerated; On page 6 are described several open data and HVD initiatives (PT - ""dados abertos"", ""dados de elevado valor"").
";Complement;;The CTIC appointed a task force dedicated to data subjects including open data. This task force (TF) includes various public public sector bodies responsibles for open data;;;;;;
P20;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Through meetings, Workshops, Webinars. URL examples: https://ogp.eportugal.gov.pt/open-gov-week-portugal. https://pasc.pt/actividades/clusters-tematicos/cluster-administracao-publica/rede-nacional-de-administracao-aberta/open-gov-week-2o-workshop-sobre-administracao-aberta%ef%bf%bc/. Does not avaiable meeting agendas. ;Confirm;;;;;;;;
P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"AMA participates in events regularly: with academia has partenered in the project UCD Lab (https://urbandatalab.pt/index.php/partners/ama) and participated in several events, example: https://www.facebook.com/photo/?fbid=796035811340405&set=pcb.796037531340233, presentaion day 10, 12h); with the community, conducted webinars on open data, example: https://dados.gov.pt/pt/posts/webinar-ama-o-sucesso-em-forma-de-dados-abertos-1/).";Confirm;;;;;;;;
;1.3 Open data implementation;;;;;;;;;;;
P22;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";no;;Change;Yes;There is a specific guideline for data management process for publication of datasets on the national open data portal dados.gov.pt. URL: https://dados.gov.pt/en/pages/faqs/publish/ ;;;;;;
P23;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For Explanation:
* If yes, please specify the process(es).";no;A monitoring dashboard is, still, being designed to be published on the national open data portal (dados.gov), with indicators of entities activity regarding to open data (example: the degree of compliance with the Law regarding High Value Datasets);Change;Yes;"The national open data portal, dados.gov, a dashboard updates the number of publications of re-uses and their temporal evolution.
A monitoring improved dashboard is also being designed to be published at the national open data portal (dados.gov), with indicators of entities' activity regarding open data (for example, the degree of compliance with the Law regarding High-Value Datasets). This dashboard is expected to be operational and launched soon.

#Reply following the questions of the research team:
The progress of public administration policies for digital transformation, particularly for open data initiatives, is evaluated annually based on the monitoring indicators defined and published in specific reports (https://www.ama.gov.pt/web/agencia-para-a-modernizacao-administrativa/quar). The attached document (Monitorização - QUAR - PA2023 - Após revisão.xlsx) contains the results for 2023. Since these indicators are quantitative and downstream of the Open Data measures, they tend to reflect the numerical evolution of the dados.gov portal, as defined in documents Ref.ª 33 and 59 (see column D).";;;;;;
P24;"Do you update your policy/strategy as appropriate to ensure its success, such as based on data collected for monitoring?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy";new question;new question;Change;Yes;"The National Data Strategy foresees that emerging technologies are constantly evolving and therefore the Action Plan should also be a living document, target of inclusion of new initiatives or updating existing ones. Any updates must maintain the alignment with the strategy and vision in theme of the data but reflecting the dynamism of priorities, needs and concerns of the economy and society.

#Reply followind the questions from the research teams:
As mentioned in P23, the indicators are annually taken into account to assess the evolution of the implemented measures. The strategy/policies are informed by those results with no specified frequency, as it depends on several conditions, namely political ones. The recent strategy is an example of that process.";;;;;;
P25;"Are there any processes in place to assess if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the reuse of public sector information).

For Explanation:
* If yes, please specify the process(es).";yes;Under the Law No. 68/2021, a cost simulator will be made available on the national open data portal (dados.gov);Confirm;;;;;;;;
P26-a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

For Explanation:
* Please briefly describe.";N/A;1- A formal national open data strategy, 2-  Political and institutional support/adherence, 3-More human and technical resources;Confirm;N/A;;;;;;;
P26-b;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

For Explanation:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to address these challenges. 
* If no, please specifiy what is hampering finding a strategic approach to solve these challenges.";yes;"There are two major pillars on which we are working to respond to these three major challenges: a) Law No. 68/2019, b) Recovery and Resilience Plan/Digital Transition (Specific projects aimed at open data).
Several projects are being developed to address some of the challenges, this process has enforced the Political and institutional support/adherence, and more HR were outsourced to execute the palnned tasks. Namely, the project mentioned in question 2, point 6 -  ""Public Administration's Data National Strategy and Action Plan""; ";Confirm;;;;;;;;
P27;"Are there any activities in place to assist data holders with publishing their data as open data (i.e. to help them with the data opening process)?

For Explanation:
* If yes, please describe/provide examples of these activities.";new question;new question;Change;Yes;"The National Data Strategy focuses as well on empowering people, contributing to a more inclusive, informed society equipped with concrete tools (legislative and practical) to understand, critically evaluate and use data in a conscious and safe way, promoting an environment conducive to active participation in the digital era. 
The Agency for Administrative Modernization (AMA) is mandated to establish and maintain the national open data portal dados.pt. This also include providing assistance to data holders in publishing their data as an open data on the national portal. Also, the CTIC appointed a task force dedicated to data subjects including open data. This task force (TF) includes various public public sector bodies responsibles for open data. Also, the national open data portal Dados.gov makes available a tutotial on how to publish open data on the portal - https://dados.gov.pt/pt/pages/api-tutorial/";;;;;;
P28;"Is there a professional development or training plan for civil servants working with data in your country? 

For Explanation:
* If yes, please briefly describe these training activities.";yes;As part of programme INCoDe.2030 (national digital competencies programme), the Portuguese government has launched an initiative for the digital qualification of public servants to promote coherent execution of digital and open data policies. For instance, there are short term courses on several ICT domains, including open data, provided by the national institute for competencies in the public administration. INA - https://www.ina.pt/index.php/centro-de-formacao-oferta-formativa;Confirm;;;;;;;;
P29;"Are there annually held national, regional or local events (e.g. hackathons, courses, conferences, users meet-ups, summer/winter schools) to promote open data and open data literacy in your country beyond the target group of public servants? 
 
For Explanation:
* If yes, please provide examples (e.g. title, date, location of the event and URL).";yes, >9;"https://portugalsmartcities.fil.pt/programa-2022/; https://www.galp.com/corp/pt/sobre-nos/a-galp/datathon; https://www.fpf.pt/pt/News/Todas-as-not%C3%ADcias/Not%C3%ADcia/news/34967; https://makeitmillennium.pt/; https://hackacity.eu/; https://dspa.pt/; https://www.dssg.pt/; https://www.lisbondatascience.org/; https://www.meetup.com/pt-BR/datascienceportugal/; https://datachallenge.pt/";Complement;Yes, >9;"#Reply following the questions of the research team:

Editions of the “Data with Purpose Summit”, a collaboration between NOVA IMS (the School of Information Management and Data Science of the Nova University of Lisbon) and a Media Partner (currently on the second edition, 21 May 2024, Rectorate of NOVA University of Lisbon, https://www.novaims.unl.pt/en/here-now/events/data-with-purpose-summit/)

Winter School on Open Data 2024, organized by the University of Minho - 14-16 February 2024, Braga, http://www.sdum.uminho.pt/ModuleLeft.aspx?mdl=~/Modules/UMEventos/EventoView.ascx&ItemID=27395&Mid=432&lang=pt-PT&pageid=3&tabid=0&fbclid=IwAR2QCOOwsVGUsTdsbJTuuTh6VJye5oe5JG6HhVmlkEUx0OwfR0sXWEhNsL8

Online learning course on the use of open data platforms, under the framework of the Open Administration Action Plan and prepared by Iscte (University Institute of Lisbon) - https://online-learning.iscte-iul.pt/courses/plano-nacional-de-acao-de-administracao-aberta-pt  

Portugal Smart Cities Summit (10th edition) - 9-10 October 2024, Lisbon, https://portugalsmartcities.fil.pt/ 

Datathon Portuguese Football Observatory, September 2022, Lisbon - https://www.fpf.pt/pt/News/Todas-as-not%C3%ADcias/Not%C3%ADcia/news/34967

Initiatives from the Lisbon Data Science Academy, 2022, Lisbon and online - https://www.lisbondatascience.org/ 

Initiatives - Meet up Data Science Portugal, diverse locations:
https://www.meetup.com/lisbon-open-data-meetup/
https://www.meetup.com/datascienceportugal/
https://www.meetup.com/big-data-lisbon/
https://www.meetup.com/big-data-developers-in-lisbon/
https://www.meetup.com/pydata-lisbon/

Hack a city – hackathon to develop impactful solutions exploring open city data, 2023, 6th edition in Porto - https://hackacity.eu/

Lisbon Data Science Portuguese Association (DSPA) Insights 2024 – AI Enhancing Business, 18-19 September 2024 - https://dspa.pt/ 

Initiatives from the open community Data Science for Social Good Portugal - https://www.dssg.pt/ 

Initiatives from private companies:
-	Datathon organized by company GALP to award innovative solutions for organizational efficiency using big data analytics – 2019, online,  https://www.galp.com/corp/pt/sobre-nos/a-galp/datathon
-	The Open Data Academy Challenge, to award academic work under the theme “energy transition” and using open data. Promoted by e-Redes, an energy provider company – Online, 2024, https://www.e-redes.pt/pt-pt/premio-open-data-academy-challenge
-	Datathon targeted at university students organized by Millennium bcp bank – regularly, in four Portuguese universities, https://makeitmillennium.pt/ 
-	Data Challenge by Santander bank (in partnership with two universities – 2021, https://datachallenge.pt/
-              Datamakers Fest, Data Makers Fest is a festival dedicated to all data practitioners. The next edition will take place from 24 to 25 of September at Alfândega Congress Center in Porto, Portugal - https://www.datamakersfest.com/;
-              Portugal Digital Summit - gathers industry leaders, experts and innovators to discuss and explore the latest trends and technologies in the digital, Lisbon, https://portugaldigitalsummit.pt/; 
-             Big Data Computing Conference, International Research Conference is a federated organization dedicated to bringing together a significant number of diverse scholarly events for presentation within the conference program, https://waset.org/big-data-computing-conference-in-october-2024-in-lisbon;  ";;;;;;
