ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
P22;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";yes;"At example:
Federal Ministry of Food and Agriculture:
Yes, all of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture have established Data Policies for this purpose.

Federal Ministry of Justice (BMJ)
Yes, the BMJ plans to expand the publication of data in the future:
- Once completed, the new Federal Legal Information Portal (""Rechtsinformationsportal des Bundes"") will make court decisions, laws, ordinances and administrative provisions of the Federal Government available as open data.
(https://www.bmj.de/DE/Ministerium/Transparenz/Rechtsinformationsportal/Rechtsinformationsportal_node.html)
- In the future, federal laws and ordinances will also be promulgated in a machine-readable data standard on the E-Promulgation Platform (""E-Verkündungsplattform"").

Examples at regional level:
Baden Württemberg:
Platform UDO, Inspire + Geo Data Services
https://udo.lubw.baden-wuerttemberg.de/public/index.xhtml;jsessionid=896323942F7ECDC73BD70ECBC48E618B
https://rips-metadaten.lubw.de/freitextsuche?rstart=0&currentSelectorPage=1&f=type:inspire.

The regional statistical database in Baden-Württemberg is currently being converted into a new system and is expected to be launched in 2024. Statistical data are then widely accessed by open data compliant (e.g. API interface).

Berlin (state):
""Kerndatensätze"" (Core datasets) should be published from the public body level. This is an action in our Open Data Strategy, and we do have workshops with the Open Data Coordinators, where we work a plan for publishing the data considered as high-value data set.

Thuringia (regional and local):
according to the Thuringian Transparency Law (Thüringer Transparenzgesetz (ThürTG)) a portal has been set up: https://verwaltung.thueringen.de/ttp. For geo-spatial data, in accordance to the EU INSPIRE regulation, a geo portal was implemented: https://www.geoportal-th.de/de-de/.
In addition, the city of Jena has recently released an open data portal: https://opendata.jena.de/.";Complement;Yes;"BMEL:
From 2023: Yes, all of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture have established Data Policies for this purpose. See for example: https://www.thuenen.de/en/data-policy

BMJ:
Yes, the BMJ plans to expand the publication of data in the future:
- Once completed, the new Federal Legal Information Portal (""Rechtsinformationsportal des Bundes"") will make court decisions, laws, ordinances and administrative provisions of the Federal Government available as open data.
(https://www.bmj.de/DE/themen/digitales/digitaler_staat/rechtsinformationsportal/rechtsinformationsportal_node.html)
- In the future, federal laws and ordinances will also be promulgated in a machine-readable data standard on the Promulgation Platform (""Verkündungsplattform"").

Schleswig-Holstein:
- A funding guideline was issued to implement automatic and continuous delivery from municipal data sources to the open data portal. (Amtsblatt für Schleswig-Holstein, volume 21, 2024-05-21, page 825)
- The Schleswig-Holstein State Data Strategy contains a chapter on the publication of open data.  https://transparenz.schleswig-holstein.de/dataset/landesdatenstrategie 
- As part of the 4th German national action plan OGP open government data will be published as linked open data. https://www.open-government-deutschland.de/opengov-de/vierter-nationaler-aktionsplan-verabschiedet-2216298

Bavaria: 
- The new open data portal ""open.bydata"" was launched in 2023, the special feature ""open data presences"" allows data providers (e.g. cities) to have an individualized and free of charge ""mini portal"", like Augsburg.bydata.de 
- The new ""open bydata competence center"" has an extensive service portfolio with consulting and material for open data providers (https://oc.bydata.de)

Hamburg: 
Transparenzportal: https://transparenz.hamburg.de/
UrbanDataPlattform: https://www.urbandataplatform.hamburg/ 

Berlin (state):
""Kerndatensätze"" (Core datasets) should be published from the public body level. This is an action in our Open Data Strategy, and we do have workshops with the Open Data Coordinators, where we work a plan for publishing the data considered as high-value data set. ""Data Inventory"": We have implemented the measure to carry out data inventories in our open data strategy, so that every administration must carry out a data inventory with the aim of discovering and publishing Open Data relevant data

North Rhine-Westphalia: According to the regional E-Government Act  (E-Government-Gesetz NRW) all state authorities shall publish their data as open data via the regional open data-portal open.nrw. Local authorities can also provide this data. Moreover the regional open data regulation (Open Data Verordnung NRW) specifies how to provide the data. 
For geo-spatial data, in accordance to the EU INSPIRE regulation, a GEO portal.NRW was implemented: https://www.geoportal.nrw/?activetab=portal#

Baden-Württemberg: 
https://www.daten-bw.de/
The state government of Baden-Württemberg makes data of public interest centrally accessible online. Our goal is to make public administration data easier to find and use. We want to promo-te the use of open licenses and increase the availability of machine-readable raw data. This will ensure that data is made available in an innovative and responsible way in the future and can be combined and used by everyone. In the long term, the aim is to create an efficient, sustainable and interconnected data infrastructure for Baden-Württemberg.

Baden-Wurtemberg
The State Office for Geoinformation and Land Development (LGL) established the Open GeoData Portal https://opengeodata.lgl-bw.de on 6th June 2024. According to EU-Commission implementation regulation 2023/118 a list of specific high-value datasets and the arrangements for their publication and re-use have been determined. The public surveying sector of Baden-Württemberg identified geodata of cadastre, terrain, surface and landscape models, 3D building models, orthophotos (aerial photographs) and digital maps. These data are made available on the Open GeoData Portal according to PSI regulation. In addition, the presentation of geodata in the geodata viewer of the Geoportal Baden-Württemberg is permitted for commercial and non-commercial purposes. The terms of use of the geodata viewer: https://www.geoportal-bw.de/#/(sidenav:karten).";;;;;;
P23;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For Explanation:
* If yes, please specify the process(es).";yes;"Yes
- Every two years the Federal Government has to report the progress of open data implementation in Germany to the federal parliament (Bundestag). This includes a survey among the federal authorities on the state of implementation of open data.
- The open government national action plan comes with a tool to monitor the implementation of the plans obligations: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- The data strategy of the Federal Government is monitored quarterly
- The open data strategy includes a regular monitoring process: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html

In Rhineland-Palatinate:
The LTranspG provides in section 23 (1) that the state government is to examine the effects of the law with scientific support and report to the state parliament. The retrospective evaluation of the LTranspG was commissioned in December 2019 by the Institute for regulatory impact assessment and evaluation (InGFA) at the German Research Institute for public Administration. The final 203-page evaluation report was submitted on 5 March 2021. Link to the full evaluation report: https://dokumente.landtag.rlp.de/landtag/drucksachen/678-18.pdf";Complement;Yes;"Yes
- Every two years the Federal Government has to report the progress of open data implementation in Germany to the federal parliament (Bundestag). This includes a survey among the federal authorities on the state of implementation of open data.
- The open government national action plan comes with a tool to monitor the implementation of the plans obligations: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- The data strategy of the Federal Government is monitored quarterly
- The open data strategy includes a regular monitoring process: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html";;;;;;
P24;"Do you update your policy/strategy as appropriate to ensure its success, such as based on data collected for monitoring?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy";new question;new question;Change;No;With the regular Open Data Progress Report to the German Bundestag, proposals are also made for a possible further development of the legal and strategic framework conditions.;;;;;;
P25;"Are there any processes in place to assess if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the reuse of public sector information).

For Explanation:
* If yes, please specify the process(es).";yes;"In principle, the open data Act provides for the publication of data as ""open data"" for the hole federal administration, unless exceptions apply (e.g. personal data, security-related data). Cost considerations therefore do not play a decisive role in the provision.";Confirm;;;;;;;;
P26-a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

For Explanation:
* Please briefly describe.";N/A;"In no particular order:
- legal restrictions (e.g. data protection, copyright), that includes the interpretation of european and national laws
- lack of technical infrastructure
- lack of data governance

The following statements are also mentioned:
- Inventory the data infrastructures and data with all the corresponding challenges are handled (e.g. data protection) 
- lack of experts in the public service and insufficient financial resources
- making existing data bases with open data FAIR so that they can provide the data machine readable
- an overview of data holdings across Federal Government
- lack of competences with open data
From a regional perspective, these would be: 
- Lack of human resources
- lack of financial resources and
- lack of political prioritization ";Confirm;N/A;;;;;;;
P26-b;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

For Explanation:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to address these challenges. 
* If no, please specifiy what is hampering finding a strategic approach to solve these challenges.";yes;"In general: The appointment of Open Data coordinators in all federal ministries. The merging of separate Open Data-related laws into one transparency law (Bundestransparenzgesetz) in the current legislative period.

In the case of the Federal Ministry of Food and Agriculture:
For this purpose, we have established the Think Tank Digitalization with working groups on data management, Open Data and AI. There, we organize regular exchange between the public body (federal research institutes and the administrative authority) from our area of responsibility and the highest authority (federal ministry).

From Federal Ministry of Justice (BMJ) perspective:
- Exchange and networking within the Federal Government
- Establishment of a network on open data in the BMJ sector

The Competence Center of Open Data (CCOD) is adressing change management for open data, e.g. in guidelines for open-data-coordinations and in public presentations at conferences and federal agencies, e.g. https://www.zukunftskongress.info/de/node/4292

At regional level:
Berlin: The ""AG Open Data"" has 21 members, each public body is obliged to send an Open Data coordinator. At this link everyone can see the contact person, who is responsible for supervising Open Data at the public body: https://www.berlin.de/moderne-verwaltung/e-government/open-data/ansprechpersonen/artikel.1258477.php";Confirm;;;;;;;;
P27;"Are there any activities in place to assist data holders with publishing their data as open data (i.e. to help them with the data opening process)?

For Explanation:
* If yes, please describe/provide examples of these activities.";new question;new question;Change;Yes;There is an active knowledge management through manuals, guides and much more through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html;;;;;;
P28;"Is there a professional development or training plan for civil servants working with data in your country? 

For Explanation:
* If yes, please briefly describe these training activities.";yes;"Yes, there are several programs in place that support professional development in open data and that are part of training plans

1) e.g. Federal Ministry of Food and Agriculture:
Yes, there are activities within our research institues, e.g. GeoNode at the Thünen Insitut (https://atlas.thuenen.de/about/), the geoportal of the JKI (http://geoportal.julius-kuehn.de/#/dashboard) or the Geoportal GDI-BMEL (https://gdi.bmel.de/) which is hosted and maintained by the BLE.

2) The German Academy of Public Administration offers course for working with data (https://www.bakoev.bund.de/DE/00_Home/home_node.html)

3) The CCOD is offering so called ""Fachforen"" (specialized forums) for civil servants, addressing specific issues regarding the work with open data, e.g. data quality and licensing of open data. Fachforen are open to civil servants from all administrational and federal levels.

4) In order to improve digital skills within the federal administration a ""digital academy"" has been set up to teach general skills, including open data. The portal has been launched in 2022 and offers training episodes, inter alia for open data, see: https://www.digitalakademie.bund.de/SharedDocs/03_Episoden/Lernreise_04/33_Open_Data.html

5) There are thematic open data trainings including the online course ""OpenGeoEdu"" that is supported by the mFund (https://learn.opengeoedu.de/opendata) (see also the videos inside to learn more about open data) .

6) Trainings are offered to civil servants in some places on the regional/local level, such as Berlin's ""Open Data Crash Course"" (Crash-Kurs Open Data) that is part of the Verwaltungsakademie Berlin's training plans: https://daten.berlin.de/interaktion/artikel/crashkurs-open-data
Schleswig Holstein offers also a proposed but voluntary curriculum for state employees.";Complement;Yes;"Together with the Federal Academy for Public Administration (BAköV), the Competence Center Open Data (CCOD) is developing a so-called ""learning path"" for structured training. In addition, there is already active knowledge management through manuals, guides and much more through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html";;;;;;
P29;"Are there annually held national, regional or local events (e.g. hackathons, courses, conferences, users meet-ups, summer/winter schools) to promote open data and open data literacy in your country beyond the target group of public servants? 
 
For Explanation:
* If yes, please provide examples (e.g. title, date, location of the event and URL).";yes, >9;"The CCOD ist planning specific formats for a better community engagement in late 2023. 
Other conferences are usually community driven, e.g.:
- https://oknrw.de/page/2/
- https://www.bertelsmann-stiftung.de/de/unsere-projekte/daten-fuer-die-gesellschaft/projektnachrichten/das-kommunale-open-data-netzwerktreffen-1
- https://www.datarun2023.de/ (BMDV) |

e.g. Federal Ministry für Economic Affairs and Climate Action:
Love Data Week (https://forschungsdaten.info/fdm-im-deutschsprachigen-raum/love-data-week/), E-Science-Tage (https://www.e-science-tage.de/de/startseite)

e.g. Federal Ministry of Food and Agriculture:
Yes, see: https://www.dlg.org/de/landwirtschaft/themen/technik/digitalisierung-arbeitswirtschaft-und-prozesstechnik/digitale-landwirtschaft; https://www.agrarheute.com/management/betriebsfuehrung/dlg-8-forderungen-fuer-digitale-landwirtschaft-542429;

Several NFDI meetings, next CORDI 2023 https://www.nfdi.de/cordi-2023-call-for-papers/.
Furthermore, the JKI is partner in FAIRagro, which is an important project with serval academic partners beyond public servants focusing on open data or data literacy. In this project a lot of workshops, hackathons, trainings and education courses, summer schools will be offered. 

Examples at regional level:
Berlin (State):
- Courses, e.g. Crashcourse Open Data  https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/einladung-24-april-crashkurs-open-data.pdf?ts=1682690247
- Conferences: Berlin Open Data Day: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019
- Hackdays: Open Data Berlin supports the Hackathons funded by the senate of Berlin with Open Data: https://www.urbaninnovation.berlin/urban-innovation-forum-2023

Thuringia: Activities to promote open data and open data literacy exist at example in the academia for research data (Thüringer Kompezenzzentrum Forschungsdaten: https://forschungsdaten-thueringen.de).";Complement;Yes, >9;"BMEL:
Yes, beyond what was reported last year, the institutes under responsibility of the Federal Ministry of Food and Agriculture participate for example in the LoveDataWeek (https://rdm4bs.tu-braunschweig.de/index.php/love-data-weel-2024); another important example is the FairAgro Community Summit (https://fairagro.net/fairagro-community-summit/), this event connects the community of agricultural data across users from public sector, research, civil society, and business. 

Schleswig-Holstein:
- Open Data Day Flensburg, 2024-03-02, Flensburg, https://opendataday-flensburg.de
- Open Data Hackathon at Lübeck University, https://jil.sh/2024/03/open-data-hackathon-wintersemester-2023-24/ 

Open Data Day 2024: 2. March 2024 to 8. March 2024:
https://open.nrw/open-data-day-2024
- Hackday Niederrhein 2024: 2. and 3. March 2024, city of Moers:
https://www.codeforniederrhein.de/hackday-2024/

Bavaria:
- A bavarian Open Data Day in Munich (04 May 2024) with > 100 participants was held (https://veranstaltungen.muenchen.de/rit/veranstaltungen/open-data-day-muenchen-2024/)
- A new bavarian ""Open Data Roundtable"" was established to connect providers and users of data and move forward together (https://oc.bydata.de/using)

Hamburg: 
There are currently no events planned for this year in Hamburg.

Baden-Württemberg: no
Berlin:
-Berlin has the conference Berlin Open Data Day which takes place every year : we have political speeches from the mayor of Berlin and the CDO and we do have best practice case studies from adminstration, the economy stakeholders or the civic tech community. we do also have ""AG Open Data"" as a working group for the Data Managers and Open Data Officers to talk about the newest challenges of the open data legislation or the open data strategy topics. we do have digital open data lunches as an exchange between the civic tech community to show their projects to the administration that should adopt theses projects in their workflow. The crashcourse Open Data takes place every year to teach the newest methods of data management and data publishing and visualisation. You can find all activities online: https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/veranstaltungen-1257989.php";;;;;;
;Dimension 2: Open Data Portal;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;2.1 Portal features;;;;;;;;;;;
PT1;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

For Explanation:
* If yes, please provide the URL of the national portal.";yes;;Complement;Yes;"daten.berlin.de; https://www.govdata.de/";;;;;;
PT2;"For Explanation:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)";new question;new question;Change;N/A;"Berlin: CKAN

GovData: In 2024, we completely rebuilt the structure of the portal. We switched to the CMS Typo3 for our editorial content and to Piveau (instead of CKAN) for data storage. Some of the portal's service functions were shifted to microservices.";;;;;;
PT3;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;"Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: The metadata catalog published on GovData can be queried and processed automatically. A CKAN API is available for this purpose - and a Piveau API will be available after the switch to Piveau.";;;;;;
PT4;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;"GovData: The metadata catalog published on GovData can not only be searched via the function on the website, but of course also can be queryed and processed by machine. For this purpose, a SPARQL endpoint (https://www.govdata.de/sparql) is available.

See also: https://www.govdata.de/web/guest/sparql-assistent";;;;;;
PT5;"Does the national portal offer/link to documentation on the use of APIs?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;Yes;"Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: A link is provided to the documentation on the CKAN API. After the switch to Piveau, the API will of course also be documented here. An example of the expected OpenAPI can be seen on the Open Data Portal of Bavaria: https://open.bydata.de/api/hub/search/";;;;;;
PT6;"Does the national portal offer/link to documentation on the use of SPARQL? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;Yes;GovData: We have a special page on GovData that links to the SPARQL documentation, lets you run any SPARQL query, but also provides a dozen sample queries: https://www.govdata.de/web/guest/sparql-assistent;;;;;;
PT7;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

For explanation:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature.";new question;new question;Change;Yes;"GovData: The national data portal GovData does not offer a function for contributing your own datasets. Local data portals offer local communities the opportunity to integrate their data. This data is harvested in the national data portal.

Berlin offers an example. The “Open Data Handbook” of the Open Data Portal Berlin describes the provision and that local communities may contribute: https://berlinonline.github.io/open-data-handbuch/#wer-darf-im-datenportal-verffentlichen . Examples include the Allgemeiner Deutscher Fahrrad-Club, but also the Civic Tech and Open Data Community in the OK Labs of Code for Germany, Freifunk and Open Street Map.";;;;;;
PT8;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;;Change;No;;;;;;;
PT9;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;A form can be used to report comments, mistakes or suggestions for improvement for each individual dataset (as an example: https://www.govdata.de/web/guest/daten/-/details/abkurzungsverzeichnis-des-bundes);Change;No;;;;;;;
PT10;"Does the national portal provide a mechanism for users to rate datasets?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";no;For a short explanation: a corresponding function w a s previously available, but it has now been discontinued due to low demand/use.;Confirm;No;;;;;;;
PT11;"Does the national portal enable users to find information and news on relevant open data topics in the country?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;;Change;No;;;;;;;
PT12;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;"Yes, the portal offers the possibility for users to receive notivations when new data sets are abailable on the national portal. We use RSS for that:
 https://www.govdata.de/web/guest/suchen/-/atomfeed/f/type%3Adataset%2C/s/relevance_desc";Change;No;;;;;;;
PT13;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";no;"No, but we are discussing on having a ""data request button"" on the portal, though we still need to figure out the political and adminstrative processes behind it so that every request also gets to the respective public body. ";Confirm;No;;;;;;;
PT14;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";no;;Confirm;No;;;;;;;
PT15;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

For Explanation:
* If yes, please describe how this monitoring is conducted.";yes;After a certain amount of time (about a month), we ask the data provider if such a data set could be published.;Change;No;;;;;;;
PT16;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"We provide a closed discussion forum for registered users. So we can’t offer you a URL. Registered users are those that provide data, meaning the responsible person in every public body. If you like to join, please contact us via Mail: info@govdata.de
Open discussion forum: https://github.com/GovDataOfficial/DCAT-AP.de";Change;No;GovData: The Open Data Competence Center is planning to set up a public discussion forum in the second half of 2024. The national data portal will provide the entry point to this forum.;;;;;;
PT17;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;;Complement;Yes;"Berlin: =HYPERLINK(""#""; ""https://daten.berlin.de/anwendungen"")";;;;;;
PT18;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

For Explanation:
* If yes, please provide the URL to this feature/to an example documenting this feature.";yes;Yes, in the use cases presented, the assigned datasets are also mentioned/described.;Change;No;;;;;;;
PT19;"Does the national portal provide the possibility for users to submit their own reuse cases?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;;Change;No;;;;;;;
PT20;"Does the national portal offer a preview function for tabular data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";no;;Confirm;No;;;;;;;
PT21;"Does the national portal offer a preview function for geospatial data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";no;;Confirm;No;;;;;;;
PT22;"Do you promote high-value datastes on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Berlin:we have the metadatum HVD to select for data publishers, but this did not get used, because the HVDs are getting published from the GENESis Database and the Geoportal

GovData: We offer a special filter function in our simple search and in the advanced search. In the results lists, the high-value data set is displayed in a high-value way (with a gold border and gold category award). Further measures to highlight high-value data sets are planned for the end of the year.";;;;;;
;2.2 Portal usage;;;;;;;;;;;
PT23;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

For Explanation:
* If yes, which tool(s) do you use?";yes;Matomo;Complement;Yes;"Berlin: =HYPERLINK(""#""; ""https://odis-berlin.de/projekte/2024-01-daten-neuheiten ""); GovData still use Matomo to monitor portal's traffic but there are additional more statistics. We harvest more portal' statistic, find some here https://www.govdata.de/web/guest/suchen/-/searchresult/q/Zugriffsstatistik/s/lastmodification_desc";;;;;;
PT24;"Do you run analytics on API usage?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";yes;N/A;Change;No;GovData: No;;;;;;
PT25;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

For Explanation:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs";yes;"We meet the users. We take part in network meetings with administration, science, the internet community and the open data community. There we actively participate in exchange rounds, bar camps, give lectures, workshops (e.g. at the re:publica), hackthons. Listening is important.
In addition, reactions in the social media channels as well as questions and feedback via the contact page of the portal are evaluated on an ongoing basis.";Complement;Yes;Berlin: surveys, an mapp inztelligence to track which data is downloaded the most;;;;;;
PT26;"Do you used the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

For Explanation:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year";new question;new question;Change;Yes;GovData:: We are in constant communication with users of the portal. The wishes of the communities are sometimes specifically requested in workshops and are incorporated into the planned roadmap for the portal. The functionalities are adapted based on the analysis (via Matomo) of the use of the portal.;;;;;;
PT27;"Do you undertake any activities to promote the portal and attract new users or new audiences?

For explanation:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)";new question;new question;Change;Yes;Berlin: we do schooling on publishing at the open data portal and using the portal at open data crashcourse;;;;;;
PT28;"Do you monitor what keywords are used to search for data and content on the portal?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";new question;new question;Change;Yes;GovData: We use Matomo on an irregular basis to analyze the search terms on our portal. Incoming links from search engines are also analyzed for their search terms. This has enabled us to determine that there is an increased need for information to provide high-value datasets. However, a targeted analysis of searches for datasets will lead to misinterpretations. There are too many sub-data portals in Germany where users also search, but whose data we do not analyze.;;;;;;
PT29;"Do you monitor the most and least consulted pages?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal";new question;new question;Change;Yes;GovData: We use the analysis of the number of hits to scrutinize the structure of our pages. A data portal has many different user groups, so it is all the more difficult for everyone to find the right content quickly.;;;;;;
PT30;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

For Explanation:
*If yes, please briefly describe how your optimise the search";yes;For searching we offer autocomplete and alternative term suggestions for optimising the results. In addition, linguistic search methods are used to improve the result.;Complement;Yes;Berlin: we want to implement Large Langugae Models;;;;;;
PT31;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

For Explanation:
*If yes, please provide the URL to an example documenting this feature.";yes;;Complement;Yes;GovData: yes. Every dataset is displayed on it's own page, sample: https://www.govdata.de/web/guest/suchen/-/details/zugriffsstatistik-daten-berlin-dec9fb3 The metadata is human readable und we provide a link to machine readable RDF file;;;;;;
;2.3 Data provision;;;;;;;;;;;
PT32;"To what degree do public sector data providers contribute data to the portal? 

For Explanation:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.).";all public sector data providers;The data of all open data portals of the public sector is available in GovData. The data is provided via specialized or federal state portals. Where this is not possible, the regional portals will provide it directly.;Change;All public sector data providers;The data of all open data portals of the public sector is available in GovData. The data is provided via specialized or federal state portals. Where this is not possible, the regional portals will provide it directly.;;;;;;
PT33;Do you identify the data providers that are not yet publishing data on the national portal?;yes, or all public sector data providers already publish data;N/A;Confirm;Yes, or all public sector data providers already publish data;GovData: yes;;;;;;
PT34;"Were there concrete actions taken to assist these data providers with their publication process?

For Explanation:
* If yes, could you provide some examples of the actions taken in this regard.";yes, or all public sector data providers already publish data;"- The Competence Center for Open Data (CCOD) established a knowledge library, including different guidelines, manuals, etc. from all federal levels. (https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html) 
CCOD also offers and conducts several Workshops addressing different issues in publicating open data.

- https://www.itb.ec.europa.eu/shacl/dcat-ap.de/upload";Confirm;Yes, or all public sector data providers already publish data;Berlin:with the open data informationsstelle berlin we assist them;;;;;;
PT35;"Besides the national open data portal, are there other regional and local portals? 

For Explanation:
* If yes, please provide a complete list and the links to these portals.";yes;A list of all data providers can be accessed as a filter list at the following link, which also includes all regional portals: https://www.govdata.de/web/guest/daten;Complement;Yes;Berlin Geoportal Wasserportal, Energieatlas, Gewerbedatenatlas, Urbane Datenplattform PRISMA, digitale Plattform Stadtverkehr, there ar many portals in Berlin;;;;;;
PT36;"Are regional and local portals listed above and their data sources discoverable via the national portal? 

For Explanation:
* If not applicable, please briefly explain why. ";yes;A list of all data providers can be accessed as a filter list at the following link, which also includes all regional portals: https://www.govdata.de/web/guest/daten;Confirm;Yes;;;;;;;
PT37;"To what degree are  regional and local sources harvested automatically? 

For Explanation:
* If less than the majority of existing sources is harvested by the national portal, please briefly explain why.                        
* If not applicable, please briefly explain why. ";the majority of datasets;Short noted: A few, mostly regional data providers, enter their data at GovData manually ;Change;The majority of datasets;"Short noted: A few, mostly regional data providers, enter their data at GovData manually 

Follow up: Thanks for the hint. We updated the column H";;;;;;
