ID;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P22;ja;"Beispiele:
Bundesministerium für Ernährung und Landwirtschaft:
Ja, alle Bundesforschungsinstitute im Zuständigkeitsbereich des Bundesministeriums für Ernährung und Landwirtschaft haben zu diesem Zweck Datenrichtlinien festgelegt.

Bundesministerium der Justiz (BMJ)
Ja, das BMJ plant, die Veröffentlichung von Daten in Zukunft auszuweiten:
- Das neue Rechtsinformationsportal des Bundes wird nach seiner Fertigstellung Gerichtsentscheidungen, Gesetze, Verordnungen und Verwaltungsvorschriften des Bundes als offene Daten verfügbar machen.
(https://www.bmj.de/DE/Ministerium/Transparenz/Rechtsinformationsportal/Rechtsinformationsportal_node.html)
- Zukünftig werden auch Bundesgesetze und -verordnungen in einem maschinenlesbaren Datenstandard auf der E-Verkündungsplattform verkündet.

Beispiele auf regionaler Ebene:
Baden-Württemberg:
Plattform UDO, Inspire + Geodatendienste
https://udo.lubw.baden-wuerttemberg.de/public/index.xhtml;jsessionid=896323942F7ECDC73BD70ECBC48E618B
https://rips-metadaten.lubw.de/freitextsuche?rstart=0&currentSelectorPage=1&f=type:inspire.

Die regionale statistische Datenbank in Baden-Württemberg wird derzeit auf ein neues System umgestellt und soll voraussichtlich im Jahr 2024 an den Start gehen. Der Zugriff auf statistische Daten erfolgt dann flächendeckend Open-Data-konform (z. B. API-Schnittstelle).

Berlin (Bundesland):
„Kerndatensätze“ sollten auf der Ebene öffentlicher Stellen veröffentlicht werden. Dies ist eine Aktion in unserer Open-Data-Strategie, und wir führen Workshops mit den Open-Data-Koordinatoren durch, in denen wir einen Plan für die Veröffentlichung der Daten erarbeiten, die als hochwertige Datensätze gelten.

Thüringen (regional und lokal):
Gemäß dem Thüringer Transparenzgesetz (ThürTG) wurde ein Portal eingerichtet: https://verwaltung.thueringen.de/ttp. Für Geodaten wurde gemäß der EU-INSPIRE-Verordnung ein Geoportal implementiert: https://www.geoportal-th.de/de-de/.
Darüber hinaus hat die Stadt Jena kürzlich ein Open-Data-Portal veröffentlicht: https://opendata.jena.de/.";Complement;ja;"BMEL:
Ab 2023: Ja, alle Bundesforschungsinstitute im Zuständigkeitsbereich des Bundesministeriums für Ernährung und Landwirtschaft haben entsprechende Datenrichtlinien erstellt. Siehe beispielsweise: https://www.thuenen.de/en/data-policy

BMJ:
Ja, das BMJ plant, die Veröffentlichung von Daten künftig auszuweiten:
– Nach Fertigstellung wird das neue Rechtsinformationsportal des Bundes Gerichtsentscheidungen, Gesetze, Verordnungen und Verwaltungsvorschriften der Bundesregierung als offene Daten verfügbar machen.
(https://www.bmj.de/DE/themen/digitales/digitaler_staat/rechtsinformationsportal/rechtsinformationsportal_node.html)
- Bundesgesetze und -verordnungen werden künftig auch in einem maschinenlesbaren Datenstandard auf der Verkündungsplattform verkündet.

Schleswig-Holstein:
- Eine Förderrichtlinie wurde herausgegeben, um die automatische und kontinuierliche Bereitstellung kommunaler Datenquellen für das Open-Data-Portal zu gewährleisten. (Amtsblatt für Schleswig-Holstein, Heft 21, 21.05.2024, S. 825)
- Die Landesdatenstrategie Schleswig-Holstein enthält ein Kapitel zur Veröffentlichung offener Daten. https://transparenz.schleswig-holstein.de/dataset/landesdatenstrategie
- Im Rahmen des 4. Nationalen Aktionsplans OGP werden Open-Government-Daten als Linked Open Data veröffentlicht. https://www.open-government-deutschland.de/opengov-de/vierter-nationaler-aktionsplan-verabschiedet-2216298

Bayern:
- Das neue Open-Data-Portal „open.bydata“ startete 2023. Die Besonderheit „Open-Data-Präsenzen“ ermöglicht Datenanbietern (z. B. Städten) ein individualisiertes und kostenloses „Mini-Portal“, ähnlich wie augsburg.bydata.de.
- Das neue „open bydata Kompetenzzentrum“ bietet ein umfangreiches Serviceportfolio mit Beratung und Materialien für Open-Data-Anbieter (https://oc.bydata.de).

Hamburg: 
Transparenzportal: https://transparenz.hamburg.de/
UrbanDataPlattform: https://www.urbandataplatform.hamburg/ 

Berlin (Bundesland):
Kerndatensätze sollten von öffentlichen Stellen veröffentlicht werden. Dies ist eine Maßnahme unserer Open-Data-Strategie. Wir führen Workshops mit den Open-Data-Koordinatoren durch, in denen wir einen Plan für die Veröffentlichung der als hochwertige Datensätze eingestuften Daten erarbeiten. „Dateninventur“: Wir haben die Maßnahme zur Durchführung von Dateninventuren in unserer Open-Data-Strategie implementiert. Jede Verwaltung muss daher eine Dateninventur durchführen, um Open-Data-relevante Daten zu ermitteln und zu veröffentlichen.

Nordrhein-Westfalen: Gemäß dem E-Government-Gesetz NRW müssen alle Landesbehörden ihre Daten als offene Daten über das regionale Open-Data-Portal open.nrw veröffentlichen. Auch lokale Behörden können diese Daten bereitstellen. Die Open-Data-Verordnung NRW regelt zudem die Bereitstellung der Daten.
Für Geodaten wurde gemäß der EU-INSPIRE-Verordnung ein GEO-Portal.NRW eingerichtet: https://www.geoportal.nrw/?activetab=portal#

Baden-Württemberg: 
https://www.daten-bw.de/
Die Landesregierung Baden-Württemberg macht Daten von öffentlichem Interesse zentral online zugänglich. Unser Ziel ist es, die Auffindbarkeit und Nutzung von Daten der öffentlichen Verwaltung zu verbessern. Wir wollen die Nutzung offener Lizenzen fördern und die Verfügbarkeit maschinenlesbarer Rohdaten erhöhen. So stellen wir sicher, dass Daten zukünftig innovativ und verantwortungsvoll bereitgestellt und von allen kombiniert und genutzt werden können. Langfristig soll eine effiziente, nachhaltige und vernetzte Dateninfrastruktur für Baden-Württemberg entstehen.

Baden-Württemberg
Das Landesamt für Geoinformation und Landesentwicklung (LGL) hat am 6. Juni 2024 das Offene Geodatenportal https://opengeodata.lgl-bw.de eingerichtet. Gemäß der Durchführungsverordnung 2023/118 der EU-Kommission wurden eine Liste bestimmter hochwertiger Datensätze sowie die Regelungen für deren Veröffentlichung und Weiterverwendung festgelegt. Das Landesvermessungswesen Baden-Württembergs identifizierte Geodaten aus Kataster-, Gelände-, Oberflächen- und Landschaftsmodellen, 3D-Gebäudemodellen, Orthofotos (Luftbilder) und digitalen Karten. Diese Daten werden gemäß der PSI-Verordnung im Offenen Geodatenportal bereitgestellt. Darüber hinaus ist die Darstellung von Geodaten im Geodatenviewer des Geoportals Baden-Württemberg für kommerzielle und nichtkommerzielle Zwecke gestattet. Die Nutzungsbedingungen des Geodatenviewers finden Sie unter: https://www.geoportal-bw.de/#/(sidenav:karten)."
P23;ja;"Ja
- Alle zwei Jahre muss die Bundesregierung dem Bundestag über die Fortschritte der Open-Data-Implementierung in Deutschland berichten. Dazu gehört auch eine Befragung der Bundesbehörden zum Stand der Umsetzung von Open Data.
- Der Nationale Aktionsplan Open Government enthält ein Tool zur Überwachung der Umsetzung der Planpflichten: https://www.open-regierung-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- Die Datenstrategie der Bundesregierung wird vierteljährlich überwacht
- Die Open-Data-Strategie beinhaltet einen regelmäßigen Monitoring-Prozess: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html

In Rheinland-Pfalz:
Das LTranspG sieht in § 23 Abs. 1 vor, dass die Landesregierung die Wirkungen des Gesetzes wissenschaftlich fundiert prüfen und dem Landtag darüber berichten soll. Die retrospektive Evaluierung des LTranspG wurde im Dezember 2019 vom Institut für Gesetzesfolgenabschätzung und -bewertung (InGFA) am Deutschen Forschungsinstitut für öffentliche Verwaltung in Auftrag gegeben. Der abschließende 203-seitige Evaluierungsbericht wurde am 5. März 2021 eingereicht. Link zum vollständigen Evaluierungsbericht: https://dokumente.landtag.rlp.de/landtag/drucksachen/678-18.pdf";Complement;ja;"Ja
– Die Bundesregierung muss dem Bundestag alle zwei Jahre über den Stand der Umsetzung von Open Data in Deutschland berichten. Dies beinhaltet eine Umfrage unter den Bundesbehörden zum Stand der Umsetzung von Open Data.
– Der Nationale Aktionsplan für Open Government enthält ein Instrument zur Überwachung der Umsetzung der Planverpflichtungen: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
– Die Datenstrategie der Bundesregierung wird vierteljährlich überwacht.
– Die Open-Data-Strategie beinhaltet einen regelmäßigen Monitoringprozess: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html"
P24;neue Frage;neue Frage;Change;nein;Mit dem regelmäßigen Open Data-Fortschrittsbericht an den Deutschen Bundestag werden zudem Vorschläge für eine mögliche Weiterentwicklung der rechtlichen und strategischen Rahmenbedingungen gemacht.
P25;ja;Das Open-Data-Gesetz sieht grundsätzlich die Veröffentlichung von Daten als „offene Daten“ für die gesamte Bundesverwaltung vor, sofern keine Ausnahmen gelten (z. B. personenbezogene Daten, sicherheitsrelevante Daten). Kostenerwägungen spielen daher bei der Regelung keine entscheidende Rolle.;Confirm;;
P26-a;Entfällt;"Ohne besondere Reihenfolge:
- rechtliche Beschränkungen (z. B. Datenschutz, Urheberrecht), einschließlich der Auslegung europäischer und nationaler Gesetze
- Mangel an technischer Infrastruktur
- Mangel an Datenverwaltung

Folgende Aussagen werden ebenfalls erwähnt:
- Inventarisierung der Dateninfrastrukturen und Daten mit allen damit verbundenen Herausforderungen (z.B. Datenschutz)
- Mangel an Fachkräften im öffentlichen Dienst und unzureichende finanzielle Mittel
- Bestehende Datenbanken mit offenen Daten FAIR machen, damit sie die Daten maschinenlesbar bereitstellen können
- eine Übersicht über die Datenbestände in der gesamten Bundesregierung
- Mangel an Kompetenzen mit offenen Daten
Aus regionaler Perspektive wären das:
- Mangel an Personal
- Mangel an finanziellen Mitteln und
- Mangelnde politische Priorisierung";Confirm;Entfällt;
P26-b;ja;"Generell: Die Benennung von Open-Data-Koordinatoren in allen Bundesministerien. Die Zusammenführung einzelner Open-Data-Gesetze zu einem Bundestransparenzgesetz in der laufenden Legislaturperiode.

Beim Bundesministerium für Ernährung und Landwirtschaft:
Zu diesem Zweck haben wir den Think Tank Digitalisierung mit Arbeitsgruppen zu Datenmanagement, Open Data und KI gegründet. Dort organisieren wir den regelmäßigen Austausch zwischen der öffentlichen Hand (Bundesforschungsinstitute und die Verwaltungsbehörde) aus unserem Zuständigkeitsbereich und der obersten Behörde (Bundesministerium).

Aus Sicht des Bundesministeriums der Justiz (BMJ):
- Austausch und Vernetzung innerhalb der Bundesregierung
- Aufbau eines Netzwerks zu offenen Daten im BMJ-Bereich

Das Kompetenzzentrum Open Data (CCOD) befasst sich mit dem Change Management für Open Data, z.B. in Leitlinien für Open-Data-Koordinationen und in öffentlichen Vorträgen auf Konferenzen und Bundesbehörden, z.B. https://www.zukunftskongress.info/de/node/4292

Auf regionaler Ebene:
Berlin: Die „AG Open Data“ hat 21 Mitglieder, jede Körperschaft ist verpflichtet, einen Open-Data-Koordinator zu entsenden. Unter diesem Link kann jeder den Ansprechpartner sehen, der für die Betreuung von Open Data bei der Behörde zuständig ist: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/ansprechpersoneentfälltrtikel.1258477.php";Confirm;;
P27;neue Frage;neue Frage;Change;ja;Es erfolgt ein aktives Wissensmanagement durch Handbücher, Leitfäden und vieles mehr über das CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html
P28;ja;"Ja, es gibt mehrere Programme, die die berufliche Weiterentwicklung im Bereich Open Data unterstützen und Teil von Schulungsplänen sind

1) z.B. Bundesministerium für Ernährung und Landwirtschaft:
Ja, es gibt Aktivitäten innerhalb unserer Forschungsinstitute, z.B. GeoNode am Thünen-Institut (https://atlas.thuenen.de/about/), das Geoportal des JKI (http://geoportal.julius-kuehn.de/#/dashboard) oder das Geoportal GDI-BMEL (https://gdi.bmel.de/), das von der BLE gehostet und gepflegt wird.

2) Die Deutsche Akademie für öffentliche Verwaltung bietet Kurse zum Arbeiten mit Daten an (https://www.bakoev.bund.de/DE/00_Home/home_node.html)

3) Das CCOD bietet sogenannte „Fachforen“ für öffentlich Bedienstete an, die sich mit spezifischen Fragestellungen im Zusammenhang mit der Arbeit mit offenen Daten befassen, z.B. Datenqualität und Lizenzierung offener Daten. Fachforen stehen öffentlich Bedienstete aller Verwaltungs- und Bundesebenen offen.

4) Um die digitalen Kompetenzen innerhalb der Bundesverwaltung zu verbessern, wurde eine „Digitale Akademie“ zur Vermittlung allgemeiner Kompetenzen, einschließlich Open Data, eingerichtet. Das Portal ist im Jahr 2022 gestartet und bietet Schulungsepisoden unter anderem für Open Data an, siehe: https://www.digitalakademie.bund.de/SharedDocs/03_Episoden/Lernreise_04/33_Open_Data.html

5) Es gibt thematische Open-Data-Schulungen, darunter den Online-Kurs „OpenGeoEdu“, der vom mFund unterstützt wird (https://learn.opengeoedu.de/opendata) (siehe auch die darin enthaltenen Videos, um mehr über Open Data zu erfahren).

6) Auf regionaler/kommunaler Ebene werden an einigen Stellen Fortbildungen für öffentlich Bedienstete angeboten, beispielsweise der Berliner „Crash-Kurs Open Data“, der Teil der Fortbildungspläne der Verwaltungsakademie Berlin ist: https://daten.berlin.de/interaktioentfälltrtikel/crashkurs-open-data
Auch Schleswig-Holstein bietet einen vorgeschlagenen, aber freiwilligen Lehrplan für Landesbedienstete an.";Complement;ja;Gemeinsam mit der Bundesakademie für öffentliche Verwaltung (BAköV) entwickelt das Kompetenzzentrum Offene Daten (CCOD) einen sogenannten „Lernpfad“ zur strukturierten Weiterbildung. Darüber hinaus erfolgt bereits aktives Wissensmanagement durch Handbücher, Leitfäden und vieles mehr über das CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html
P29;ja, >9;"Das CCOD plant für Ende 2023 konkrete Formate für ein besseres Community-Engagement.
Andere Konferenzen werden normalerweise von der Community betrieben, z. B.:
- https://oknrw.de/page/2/
- https://www.bertelsmann-stiftung.de/de/unsere-projekte/daten-fuer-die-gesellschaft/projektnachrichten/das-kommunale-open-data-netzwerktreffen-1
- https://www.datarun2023.de/ (BMDV) |

z.B. Bundesministerium für Wirtschaft und Klimaschutz:
Love Data Week (https://forschungsdaten.info/fdm-im-deutschsprachigen-raum/love-data-week/), E-Science-Tage (https://www.e-science-tage.de/de/startseite)

z.B. Bundesministerium für Ernährung und Landwirtschaft:
Ja, siehe: https://www.dlg.org/de/landwirtschaft/themen/technik/digitalisierung-arbeitswirtschaft-und-prozesstechnik/digitale-landwirtschaft; https://www.agrarheute.com/management/betriebsfuehrung/dlg-8-forderungen-fuer-digitale-landwirtschaft-542429;

Mehrere NFDI-Treffen, nächste CORDI 2023 https://www.nfdi.de/cordi-2023-call-for-papers/.
Darüber hinaus ist das JKI Partner bei FAIRagro, einem wichtigen Projekt mit mehreren akademischen Partnern über öffentliche Bedienstete hinaus, das sich auf offene Daten oder Datenkompetenz konzentriert. In diesem Projekt werden zahlreiche Workshops, Hackathons, Schulungen und Bildungskurse sowie Sommerschulen angeboten.

Beispiele auf regionaler Ebene:
Berlin (Bundesland):
- Kurse, z.B. Crashkurs Open Data https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/veranstaltungen/einladung-24-april-crashkurs-open-data.pdf?ts=1682690247
- Konferenzen: Berlin Open Data Day: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019
- Hackdays: Open Data Berlin unterstützt die vom Berliner Senat geförderten Hackathons mit Open Data: https://www.urbaninnovation.berlin/urban-innovation-forum-2023

Thüringen: Aktivitäten zur Förderung von Open Data und Open Data Literacy gibt es beispielsweise in der Wissenschaft für Forschungsdaten (Thüringer Kompezenzzentrum Forschungsdaten: https://forschungsdaten-thueringen.de).";Complement;ja, >9;"BMEL:
Ja, über das im letzten Jahr berichtete hinaus beteiligen sich die Institute im Zuständigkeitsbereich des Bundesministeriums für Ernährung und Landwirtschaft beispielsweise an der LoveDataWeek (https://rdm4bs.tu-braunschweig.de/index.php/love-data-weel-2024); ein weiteres wichtiges Beispiel ist der FairAgro Community Summit (https://fairagro.net/fairagro-community-summit/), diese Veranstaltung vernetzt die Community für Agrardaten zwischen Nutzern aus dem öffentlichen Sektor, der Forschung, der Zivilgesellschaft und der Wirtschaft.

Schleswig-Holstein:
- Tag der offenen Daten Flensburg, 02.03.2024, Flensburg, https://opendataday-flensburg.de
Open Data Hackathon an der Universität zu Lübeck, https://jil.sh/2024/03/open-data-hackathon-wintersemester-2023-24/

Open Data Day 2024: 2. bis 8. März 2024:
https://open.nrw/open-data-day-2024
- Hackday Niederrhein 2024: 2. und 3. März 2024, Stadt Moers:
https://www.codeforniederrhein.de/hackday-2024/

Bayern:
– Ein bayerischer Open Data Day fand in München (4. Mai 2024) mit über 100 Teilnehmern statt (https://veranstaltungen.muenchen.de/rit/veranstaltungen/open-data-day-muenchen-2024/).
– Ein neuer bayerischer „Open Data Roundtable“ wurde gegründet, um Datenanbieter und -nutzer zu vernetzen und gemeinsam Fortschritte zu erzielen (https://oc.bydata.de/using).

Hamburg: 
Für dieses Jahr sind derzeit keine Veranstaltungen in Hamburg geplant.

Baden-Württemberg: nein
Berlin:
- In Berlin findet jährlich die Konferenz „Berlin Open Data Day“ statt: Wir bieten politische Reden des Berliner Bürgermeisters und des CDO sowie Best-Practice-Fallstudien aus der Verwaltung, der Wirtschaft und der Civic-Tech-Community. Außerdem gibt es die „AG Open Data“, eine Arbeitsgruppe für Datenmanager und Open-Data-Beauftragte, um über die neuesten Herausforderungen der Open-Data-Gesetzgebung oder Themen der Open-Data-Strategie zu sprechen. Wir veranstalten digitale Open-Data-Lunches zum Austausch innerhalb der Civic-Tech-Community, um der Verwaltung ihre Projekte vorzustellen, die diese in ihre Arbeitsabläufe integrieren sollte. Der Crashkurs „Open Data“ findet jährlich statt und vermittelt die neuesten Methoden des Datenmanagements, der Datenveröffentlichung und -visualisierung. Alle Aktivitäten finden Sie online unter: https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/veranstaltungen-1257989.php"
D2;;;;;
D2.1;;;;;
PT1;ja;;Complement;ja;"daten.berlin.de; https://www.govdata.de/"
PT2;neue Frage;neue Frage;Change;Entfällt;"Berlin: CKAN

GovData: Im Jahr 2024 haben wir die Struktur des Portals komplett neu aufgebaut. Wir wechselten für unsere redaktionellen Inhalte zum CMS Typo3 und für die Datenspeicherung zu Piveau (anstelle von CKAN). Einige Servicefunktionen des Portals wurden auf Microservices verlagert."
PT3;neue Frage;neue Frage;Change;ja;"Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: Der auf GovData veröffentlichte Metadatenkatalog kann automatisiert abgefragt und verarbeitet werden. Hierfür steht eine CKAN-API zur Verfügung – nach der Umstellung auf Piveau wird auch eine Piveau-API verfügbar sein."
PT4;neue Frage;neue Frage;Change;ja;"GovData: Der auf GovData veröffentlichte Metadatenkatalog kann nicht nur über die Funktion auf der Website durchsucht, sondern selbstverständlich auch maschinell abgefragt und verarbeitet werden. Hierfür steht ein SPARQL-Endpunkt (https://www.govdata.de/sparql) zur Verfügung.

Siehe auch: https://www.govdata.de/web/guest/sparql-assistent"
PT5;neue Frage;neue Frage;Change;ja;"Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: Ein Link zur Dokumentation der CKAN-API ist vorhanden. Nach der Umstellung auf Piveau wird die API selbstverständlich auch hier dokumentiert. Ein Beispiel der geplanten OpenAPI finden Sie auf dem Open-Data-Portal Bayern: https://open.bydata.de/api/hub/search/"
PT6;neue Frage;neue Frage;Change;ja;GovData: Wir haben eine spezielle Seite zu GovData, die auf die SPARQL-Dokumentation verweist, Ihnen die Ausführung beliebiger SPARQL-Abfragen ermöglicht, aber auch ein Dutzend Beispielabfragen bereitstellt: https://www.govdata.de/web/guest/sparql-assistent
PT7;neue Frage;neue Frage;Change;ja;"GovData: Das nationale Datenportal GovData bietet keine Möglichkeit, eigene Datensätze einzubringen. Lokale Datenportale bieten Kommunen die Möglichkeit, ihre Daten zu integrieren. Diese Daten werden im nationalen Datenportal gesammelt.

Berlin bietet ein Beispiel. Das „Open Data Handbuch“ des Open Data Portals Berlin beschreibt die Bereitstellung und die Möglichkeiten lokaler Kommunen, Beiträge zu leisten: https://berlinonline.github.io/open-data-handbuch/#wer-darf-im-datenportal-verffentlichen. Beispiele hierfür sind der Allgemeine Deutsche Fahrrad-Club, aber auch die Civic Tech und Open Data Community in den OK Labs von Code for Germany, Freifunk und Open Street Map."
PT8;ja;;Change;nein;
PT9;ja;Über ein Formular können Kommentare, Fehler oder Verbesserungsvorschläge für jeden einzelnen Datensatz gemeldet werden (Beispiel: https://www.govdata.de/web/guest/daten/-/details/abkurzungsverzeichnis-des-bundes);Change;nein;
PT10;nein;Zur kurzen Erklärung: Eine entsprechende Funktion war bereits verfügbar, wurde jedoch aufgrund geringer Nachfrage/Nutzung eingestellt.;Confirm;nein;
PT11;ja;;Change;nein;
PT12;ja;"Ja, das Portal bietet Benutzern die Möglichkeit, Benachrichtigungen zu erhalten, wenn neue Datensätze auf dem nationalen Portal verfügbar sind. Wir nutzen dafür RSS:
  https://www.govdata.de/web/guest/suchen/-/atomfeed/f/type%3Adataset%2C/s/relevance_desc";Change;nein;
PT13;nein;Nein, aber wir diskutieren über einen „Datenanfrage-Button“ auf dem Portal, allerdings müssen wir noch die politischen und administrativen Prozesse dahinter klären, damit jede Anfrage auch bei der jeweiligen öffentlichen Stelle ankommt.;Confirm;nein;
PT14;nein;;Confirm;nein;
PT15;ja;Nach einer gewissen Zeit (etwa einem Monat) fragen wir den Datenanbieter, ob ein solcher Datensatz veröffentlicht werden könnte.;Change;nein;
PT16;ja;"Für registrierte Benutzer stellen wir ein geschlossenes Diskussionsforum zur Verfügung. Daher können wir Ihnen keine URL anbieten. Registrierter Nutzer ist derjenige, der Daten bereitstellt, also der Verantwortliche in jeder öffentlichen Stelle. Wenn Sie mitmachen möchten, kontaktieren Sie uns bitte per Mail: info@govdata.de
Offenes Diskussionsforum: https://github.com/GovDataOfficial/DCAT-AP.de";Change;nein;GovData: Das Open Data Competence Center plant für die zweite Jahreshälfte 2024 die Einrichtung eines öffentlichen Diskussionsforums. Den Einstieg in dieses Forum bietet das nationale Datenportal.
PT17;ja;;Complement;ja;"Berlin: =HYPERLINK(""#""; ""https://daten.berlin.de/anwendungen"")"
PT18;ja;Ja, in den vorgestellten Anwendungsfällen werden auch die zugeordneten Datensätze erwähnt/beschrieben.;Change;nein;
PT19;ja;;Change;nein;
PT20;nein;;Confirm;nein;
PT21;nein;;Confirm;nein;
PT22;neue Frage;neue Frage;Change;ja;"Berlin: Wir verfügen über das Metadaten-HVD zur Auswahl für Datenherausgeber. Dieses wurde jedoch bisher nicht genutzt, da die HVDs aus der GENESis-Datenbank und dem Geoportal veröffentlicht werden.

GovData: Wir bieten eine spezielle Filterfunktion in unserer einfachen und erweiterten Suche. In den Ergebnislisten werden Datensätze mit hohem Wert besonders hervorgehoben (mit einem goldenen Rahmen und der Auszeichnung in der Kategorie „Gold“). Weitere Maßnahmen zur Hervorhebung hochwertiger Datensätze sind für Ende des Jahres geplant."
D2.2;;;;;
PT23;ja;Matomo;Complement;ja;"Berlin: =HYPERLINK(""#""; ""https://odis-berlin.de/projekte/2024-01-daten-neuheiten ""); GovData nutzt weiterhin Matomo zur Überwachung des Portalverkehrs, bietet aber zusätzliche Statistiken. Wir erfassen weitere Portalstatistiken, einige finden Sie hier. https://www.govdata.de/web/guest/suchen/-/searchresult/q/Zugriffsstatistik/s/lastmodification_desc"
PT24;ja;Entfällt;Change;nein;GovData: Nein
PT25;ja;"Wir treffen die Benutzer. Wir nehmen an Netzwerktreffen mit Verwaltung, Wissenschaft, der Internet-Community und der Open-Data-Community teil. Dort nehmen wir aktiv an Austauschrunden, Barcamps teil, halten Vorträge, Workshops (z. B. auf der re:publica), Hackathons. Zuhören ist wichtig.
Darüber hinaus werden laufend Reaktionen in den Social-Media-Kanälen sowie Fragen und Rückmeldungen über die Kontaktseite des Portals ausgewertet.";Complement;ja;Berlin: Umfragen, eine Mapp-Intelligence, um zu verfolgen, welche Daten am häufigsten heruntergeladen werden
PT26;neue Frage;neue Frage;Change;ja;GovData: Wir stehen im ständigen Austausch mit den Nutzerinnen und Nutzern des Portals. Die Wünsche der Kommunen werden teilweise in Workshops konkret erfragt und fließen in die geplante Roadmap für das Portal ein. Die Funktionalitäten werden basierend auf der Analyse (via Matomo) der Portalnutzung angepasst.
PT27;neue Frage;neue Frage;Change;ja;Berlin: Wir schulen zum Veröffentlichen im Open Data-Portal und zur Nutzung des Portals im Open Data Crashkurs
PT28;neue Frage;neue Frage;Change;ja;GovData: Wir nutzen Matomo unregelmäßig, um die Suchbegriffe auf unserem Portal zu analysieren. Auch eingehende Links von Suchmaschinen werden auf ihre Suchbegriffe analysiert. Dadurch konnten wir einen erhöhten Informationsbedarf für die Bereitstellung hochwertiger Datensätze feststellen. Eine gezielte Analyse der Suche nach Datensätzen führt jedoch zu Fehlinterpretationen. Es gibt in Deutschland zu viele Subdatenportale, auf denen Nutzer ebenfalls suchen, deren Daten wir aber nicht analysieren.
PT29;neue Frage;neue Frage;Change;ja;GovData: Wir nutzen die Analyse der Zugriffszahlen, um die Struktur unserer Seiten genau zu hinterfragen. Ein Datenportal hat viele unterschiedliche Nutzergruppen, umso schwieriger ist es für alle, schnell die passenden Inhalte zu finden.
PT30;ja;Für die Suche bieten wir Autovervollständigung und alternative Begriffsvorschläge zur Optimierung der Ergebnisse an. Darüber hinaus werden linguistische Suchmethoden eingesetzt, um das Ergebnis zu verbessern.;Complement;ja;Berlin: Wir wollen große Sprachmodelle implementieren
PT31;ja;;Complement;ja;GovData: ja. Jeder Datensatz wird auf einer eigenen Seite angezeigt, Beispiel: https://www.govdata.de/web/guest/suchen/-/details/zugriffsstatistik-daten-berlin-dec9fb3 Die Metadaten sind menschenlesbar und wir bieten einen Link zu einer maschinenlesbaren RDF-Datei.
D2.3;;;;;
PT32;alle Datenanbieter des öffentlichen Sektors;Die Daten aller Open-Data-Portale des öffentlichen Sektors sind in GovData verfügbar. Die Datenbereitstellung erfolgt über Fach- oder Landesportale. Wo dies nicht möglich ist, stellen die regionalen Portale diese direkt zur Verfügung.;Change;alle Datenanbieter des öffentlichen Sektors;In GovData stehen die Daten aller Open-Data-Portale des öffentlichen Sektors zur Verfügung. Die Datenbereitstellung erfolgt über Fach- bzw. Landesportale. Wo dies nicht möglich ist, erfolgt die Datenbereitstellung direkt über die regionalen Portale.
PT33;ja, oder alle Datenanbieter des öffentlichen Sektors veröffentlichen bereits Daten;Entfällt;Confirm;ja, oder alle Datenanbieter des öffentlichen Sektors veröffentlichen bereits Daten;GovData: ja
PT34;ja, oder alle Datenanbieter des öffentlichen Sektors veröffentlichen bereits Daten;"- Das Kompetenzzentrum für Open Data (CCOD) hat eine Wissensbibliothek aufgebaut, die verschiedene Richtlinien, Handbücher etc. aus allen Bundesebenen umfasst. (https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html)
CCOD bietet außerdem mehrere Workshops an und führt diese durch, die sich mit unterschiedlichen Themen bei der Veröffentlichung offener Daten befassen.

- https://www.itb.ec.europa.eu/shacl/dcat-ap.de/upload";Confirm;ja, oder alle Datenanbieter des öffentlichen Sektors veröffentlichen bereits Daten;Berlin: Mit der Open Data Informationsstelle Berlin unterstützen wir sie
